ETC_20150317_000001	Kepa	케파
ETC_20150317_000052	Golem	골렘
ETC_20150317_000053	Gray Golem	회색 골렘
ETC_20150317_000054	Meduja	미듀쟈
ETC_20150317_000055	บางคนบอกว่า Meduja สามารถใช้ติดต่อวิญญาณของคนตายได้	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.
ETC_20150317_000056	Blue Meduja	푸른 미듀쟈
ETC_20150317_000057	Green Meduja	초록 미듀쟈
ETC_20150317_000058	Red Meduja	붉은 미듀쟈
ETC_20150317_000059	นักวิจัยได้ยืนยันว่าพืชมีวิญญาณอยู่ Meduja เป็นรูปแบบการกลายพันธุ์ของวิญญาณดังกล่าว	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.
ETC_20150317_000060	Meduja Larva	미듀쟈 유충
ETC_20150317_000061	Ellaganos	엘라가노스
ETC_20150317_000062	Bite	바이트
ETC_20150317_000063	บางคนบอกว่าพวกเขาเลือกที่จะใช้ลูกศรมากกว่าประสบการณ์โจมตีโดยกัด	어떤 사람들은 이들에게 물리느니 화살에 맞는 것이 낫다고 합니다.
ETC_20150317_000064	Puragi	푸라기
ETC_20150317_000065	มันเป็นความลับที่ลืมไปแล้วว่าปีศาจแอบนำ Puragis เข้าโจมตีทหารของ Ruklys ในช่วงสงครามกลางเมือง	루클리스 내전 당시 마족들이 이들을 은밀히 투입하여 루클리스 병사들을 공격한 것은 역사의 감춰진 비밀입니다.
ETC_20150317_000066	Blue Puragi	푸른 푸라기
ETC_20150317_000067	Blue Puragis รักในการฆ่าและปล้นสะดม	푸라기 중에서도 이들은 특히 살생과 탈취를 좋아합니다.
ETC_20150317_000068	Green Puragi	초록 푸라기
ETC_20150317_000069	ไม่มีใครซักคนที่เคยเห็นใบหน้าที่ซ่อนอยู่หลังหน้ากากของมัน	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다
ETC_20150317_000070	Red Puragi	붉은 푸라기
ETC_20150317_000071	Large Puragi	대형 푸라기
ETC_20150317_000072	Zigri	지그리
ETC_20150317_000073	Brown Zigri	갈색 지그리
ETC_20150317_000074	สมุนปีศาจเหล่านี้สนุกกับการฆ่า	살육을 즐기는 마족의 졸개입니다.
ETC_20150317_000075	Black Zigri	검은 지그리
ETC_20150317_000076	สมุนปีศาจพบได้ทุกหนทุกแห่งบนโลก	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.
ETC_20150317_000077	Red Zigri	붉은 지그리
ETC_20150317_000078	Fisherman	피셔맨
ETC_20150317_000079	เหตุผลที่ว่าทำไม ชาวประมง ถูกจัดหมวดหมู่เป็นมอนสเตอร์ เนื่องจากคันเบ็ดตกปลาของพวกเขาควบคุมสิ่งมีชีวิต	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.
ETC_20150317_000080	Blue Fisherman	푸른 피셔맨
ETC_20150317_000081	Green Fisherman	초록 피셔맨
ETC_20150317_000082	Red Fisherman	붉은 피셔맨
ETC_20150317_000083	การกระทำของชาวประมงมักอธิบายไม่ได้	피셔맨들의 행태는 설명되지 않는 부분이 많습니다.
ETC_20150317_000084	Gribaru	그리바루
ETC_20150317_000085	ลำต้นส่วนหัวของมันสามารถใช้เพื่อวัตถุประสงค์บางอย่าง เช่นการปล่อยสารล่อ และการตรวจจับเป้าหมายที่ซ่อนอยู่	머리의 줄기는 탐지, 유인 등 여러 목적으로 사용됩니다.
ETC_20150317_000086	Big Gribaru	빅그리바루
ETC_20150317_000087	Thorn Forest Griba	가시숲 그리바
ETC_20150317_000088	Matsum	메슘
ETC_20150317_000089	ไม่ว่าจะเป็น Matsum ที่ก่อกำเนิดมาจากพืช, สัตว์,  หรือแร่ธาตุก็ไม่สำคัญ สิ่งที่คุณควรรู้ก็คืออันตราย	메슘이 동식물 혹은 어떤 광물에서 기원한 몬스터인지는 중요하지 않습니다. 알아야 할 것은 그 위험성입니다.
ETC_20150317_000090	Matsuma	메슘마
ETC_20150317_000091	Mirtis Ego	분신 미르티스
ETC_20150317_000092	Molich	몰렉
ETC_20150317_000093	Mini Griba	미니 그리바
ETC_20150317_000094	Green Griba	초록 그리바
ETC_20150317_000095	Red Griba	붉은 그리바
ETC_20150317_000096	ถึงแม้ว่าสีสันที่สดใสจะทำให้มองเห็นความสวยของพวกเขา แต่การหลีกเลี่ยงการโจมตีของพวกเขานั้นเป็นไปได้ยาก	밝은 색이라 눈에 잘 보이기는 하지만, 그렇다고 피하기 쉽지는 않습니다.
ETC_20150317_000097	Yellow Griba	노란 그리바
ETC_20150317_000098	Large Red Griba	대형 붉은 그리바
ETC_20150317_000099	Big Griba	빅 그리바
ETC_20150317_000100	มอนสเตอร์ตัวนี้เคยอธิบายไว้ว่ายากที่จะขัดขวางและกินยาก	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.
ETC_20150317_000101	Big Blue Griba	푸른 빅 그리바
ETC_20150317_000102	มอนสเตอร์ที่มีขนาดใหญ่, แข็งแกร่ง, ทนทาน และไม่เต็มใจเป็นเหยื่อของนักล่า	크고 강하고 질기지만 일부러 사냥하러 다니기에는 꺼림직한 몬스터입니다.
ETC_20150317_000103	Big Green Griba	초록 빅 그리바
ETC_20150317_000104	Big Red Griba	붉은 빅 그리바
ETC_20150317_000105	Old Kepa	늙은케파
ETC_20150317_000106	Kepa ติบโตได้เร็วและมีกลิ่นฉุนรุนแรงขึ้นตามอายุ	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 매운 향이 한층 더 강해졌으니 주의.
ETC_20150317_000107	Gelsvas Old Kepa	겔스바스 늙은케파
ETC_20150317_000108	Black Old Kepa	검은 늙은케파
ETC_20150317_000109	Red Old Kepa	붉은 늙은케파
ETC_20150317_000110	Kepa ที่เติบโตมานานยิ่งสีเปลี่ยนไปมากเท่าไรยิ่งอันตรายมากขึ้นเท่านั้น	늙어 색이 변할 정도로 오래 생존한 케파는 그런 만큼 더 위험합니다.
ETC_20150317_000111	Large Old Kepa	대형 늙은케파
ETC_20150317_000112	Rafflesia	라플레시아
ETC_20150317_000113	Green Rafflesia	초록 라플레시아
ETC_20150317_000114	Black Rafflesia	검은 라플레시아
ETC_20150317_000115	ใบของพืชชนิดนี้แข็งแรงกว่าหนังสัตว์	이 식물의 잎은 가죽보다 강하다고 합니다.
ETC_20150317_000116	Red Rafflesia	붉은 라플레시아
ETC_20150317_000117	Raffly	라플리
ETC_20150317_000118	แม้ว่าหลังจากผ่านการการกลายพันธุ์แล้ว, แต่ Raffly ยังคงล่าแมลงตัวเล็ก ๆ เช่นเคย	라플리 변이된 후에도 작은 곤충을 사냥합니다.
ETC_20150317_000119	Blue Raffly	푸른 라플리
ETC_20150317_000120	Gray Raffly	회색 라플리
ETC_20150317_000121	Black Raffly	검은 라플리
ETC_20150317_000122	Ridimed	리디메드
ETC_20150317_000123	Blue Ridimed	푸른 리디메드
ETC_20150317_000124	แม้ว่ามันจะกลายพันธุ์มาจากสมุนไพร, แต่ขณะนี้ร่างกายทั้งหมดของมันกลายไม้เนื้อแข็ง	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.
ETC_20150317_000125	Black Ridimed	검은 리디메드
ETC_20150317_000126	Red Ridimed	붉은 리디메드
ETC_20150317_000127	Sakmoli	사크몰리
ETC_20150317_000128	การโจมตีขาของมัน จะไม่สามารถทำให้มันล้มลงได้	다리를 공격한다고 쓰러지지 않습니다. 
ETC_20150317_000129	Green Sakmoli	초록 사크몰리
ETC_20150317_000130	Orange Sakmoli	주홍 사크몰리
ETC_20150317_000131	Black Sakmoli	검은 사크몰리
ETC_20150317_000132	Rikaus	리카우스
ETC_20150317_000133	Green Apparition	초록 어패리션
ETC_20150317_000134	ผีที่ได้รับผลกระทบจากปีศาจพวกเขามักจะเปลี่ยนรูปร่างในลักษณะที่คล้ายกัน	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다.
ETC_20150317_000135	Black Apparition	검은 어패리션
ETC_20150317_000136	Spectra	스펙트라
ETC_20150317_000137	Black Spectra	검은 스펙트라
ETC_20150317_000138	แม้ว่าพวกเขาจะมีชีวิตอยู่ก็ตาม มอนสเตอร์เหล่านี้มักเป็นวิญญาณชั่วร้ายพวกเขาไม่เหมือนกับปีศาจมอนสเตอร์ตัวอื่นๆ,	다른 먕령류의 몬스터와 달리 이들은 살았을 적에도 사악한 영혼인 경우가 많습니다.
ETC_20150317_000139	Giant Specter	대형 스펙터
ETC_20150317_000140	Specter of Deceit	현혹의 스펙터
ETC_20150317_000141	Green Rikaus	초록 리카우스
ETC_20150317_000142	Spectron	스펙트론
ETC_20150317_000143	Specter Monarch	스펙터 군주
ETC_20150317_000144	Thornball	던볼
ETC_20150317_000145	เมล็ดที่ลอยได้นี้แปรสภาพ,ด้านนอกเป็นขุย ทำให้สูญเสียเปลือกที่แข็งและหนาม.  อย่างไรก็ตามความสามารถในการลอยตัวยังคงเหมือนเดิม	부유형 씨앗이 변이되면서 부유능력은 잃지 않고 솜털은 가시와 단단한 외피로 변형된 몬스터입니다.
ETC_20150317_000146	Big Thornball	빅던볼
ETC_20150317_000147	Woodspirit	우드스피릿
ETC_20150317_000148	Blue Woodspirit	푸른 우드스피릿
ETC_20150317_000149	Green Woodspirit	초록 우드스피릿
ETC_20150317_000150	Woodsman	우드맨
ETC_20150317_000151	ความจริงที่ว่า Woodsman ไม่สามารถขยับได้เป็นพรที่แท้จริง	우드맨이 움직이지 못하는 점은 큰 축복이라 하겠습니다.
ETC_20150317_000152	Blue Woodsman	푸른 우드맨
ETC_20150317_000153	Gray Woodsman	회색 우드맨
ETC_20150317_000154	Red Woodsman	붉은 우드맨
ETC_20150317_000155	Dark Slime	다크슬라임
ETC_20150317_000156	ถึงแม้ว่า slimes จะมีลักษณะที่คล้ายกัน แต่ก็แตกต่างกันไปตามสายพันธุ์ เนื่องจากความแตกต่างระหว่างจุดที่ก่อกำเนิดของพวกเขา	슬라임은 최종 형태는 비슷해도 원형이 되는 물질의 차이에 따라 다양한 종류가 생깁니다.
ETC_20150317_000157	Rusrat	러스라트
ETC_20150317_000158	ผู้พิทักษ์เหล่านี้ถูกฝังอยู่ในสุสานจำนวนมาก, โดยเริ่มจากสุสานหลวงของกษัตริย์ Zachariel ผู้ยิ่งใหญ่, เพื่อหยุดผู้บุกรุก. ชื่อของมันมาจากสุสานของจอมโจรที่พบพวกเขา	자카리엘 왕릉을 시점으로 여러 유적에 배치되어 침입자를 처치하면서 도굴꾼들에게 얻은 별명입니다.
ETC_20150317_000159	Medakia	메다키아
ETC_20150317_000160	Medakia ถูกสร้างขึ้นโดยพ่อมดแห่งศาล เพื่อป้องกันผู้บุกรุกที่เป็นอันตรายร้ายแรงมากกว่าพวกโจรสุสาน	궁정마법사들은 침입자가 단순 도굴꾼이 아닐 때를 대비해 메다키아를 만들었습니다.
ETC_20150317_000161	Wheelen	휠렌
ETC_20150317_000162	Wheelen เป็นหนึ่งของการสร้างสิ่งที่วิเศษมากมาย ที่ทำขึ้นเพื่อปกป้องสุสานที่ปิดผนึก ซึ่งปัจจุบันไม่มีผู้ดูแล	밀폐된 유적을 관리자없이 수호하기 위해 다양한 마법피조물이 만들어졌으며 휠렌도 그 한 종류입니다
ETC_20150317_000163	Wheelen 3	휠렌3
ETC_20150317_000164	Mauros	마우로스
ETC_20150317_000165	กองทหารม้าหินของสุสานหลวง สร้างขึ้นจากมนต์วิเศษ  ซึ่งทำให้สามารถต้านทานได้แม้กระทั่งอัศวินที่ติดอาวุธหนักที่สุด	왕릉석기병은 강하고 노련한 중무장 기사도 감당할 정도로 만들어진 마법피조물입니다.
ETC_20150317_000166	Truffle	트리펠리
ETC_20150317_000167	สำหรับเหตุผลที่ไม่ทราบว่ามอนสเตอร์ตัวนี้มีความเกลียดชังอย่างรุนแรงต่อมนุษย์. มันชอบที่จะโจมตีมนุษย์แทนที่จะล่าเหยื่อหรือแม้แต่การอยู่รอดของตัวเอง	원인은 모르나 인간을 극히 증오하는 몬스터이며 생존이나 먹이보다 인간을 공격하기 좋아합니다.
ETC_20150317_000168	Trufflelia	트리펠리아
ETC_20150317_000169	Bramble	브람블
ETC_20150317_000170	Bramble Ego	브람블의 분신
ETC_20150317_000171	Willow	윌로우
ETC_20150317_000172	Willowna	윌로우나
ETC_20150317_000173	Hanaming	하나밍
ETC_20150317_000174	ใบร่วงหล่นจากการตายของ Hanaming จะเหี่ยวเฉาอย่างรวดเร็ว	하나밍이 죽으며 떨어진 잎은 대개 급속히 시듭니다.
ETC_20150317_000175	Chupacabra	츄파카브라
ETC_20150317_000176	จำนวนของพวกเขาเติบโตขึ้นหลังจาก เกิดภัยพิบัติของ Great Plant Cataclysm ตอนนี้พวกเขามีแนวโน้มที่จะแย่งชิงดินแดนของพวกมนุษย์	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다.
ETC_20150317_000177	Gray Chupacabra	회색 츄파카브라
ETC_20150317_000178	Chupacabra ขนาดใหญ่สีเทา	대형 회색 츄파카브라
ETC_20150317_000179	chupacabras เคลื่อนที่อย่างลับๆล่อๆหากนั่นเป็น chupacabrasชั้นยอดมันจะอันตรายสำหรับมนุษย์มาก	츄파카브라는 은밀하게 움직입니다. 그리고 이 점은 엘리트 츄파카브라의 경우 인간에게 더욱 위험합니다. 
ETC_20150317_000180	Yellow Chupacabra	노란 츄파카브라
ETC_20150317_000181	Popolion	포포리온
ETC_20150317_000182	เสียงของ Popolion บอกว่าจะทำลายแม้กระทั่งขวดแก้ว	누군가에 의하면 포포리온의 고음은 유리병도 깨뜨릴 수 있다고 합니다.
ETC_20150317_000183	Sauga	사우가
ETC_20150317_000184	Saugas	사우가스
ETC_20150317_000185	Scorpion	스콜피온
ETC_20150317_000186	Tontulia	톤투리아
ETC_20150317_000187	Tontulia เป็นการกลายพันธุ์ที่เปลี่ยนแปลงได้เร็วของ Tontus	톤투스가 활동력을 지니도록 변이한 몬스터입니다.
ETC_20150317_000188	Tontus	톤투스
ETC_20150317_000189	การดำรงชีวิตของผู้อยู่อาศัยในทะเลทรายมีสภาพที่แย่ เมื่อกระบองเพชรกลายพันธุ์ทำให้	선인장이 톤투스로 변이되면서 건조한 지역 거주자의 힘든 환경은 더욱 악화되었습니다. 
ETC_20150317_000190	Vekarabe	베카라베
ETC_20150317_000191	เมื่อเทียบกับสัตว์ชนิดอื่น Vekarabe ไม่ได้เปลี่ยนแปลงจากรูปแบบเดิมมากนักเมื่อพวกเขากลายเป็นมอนสเตอร์. อย่างไรก็ตาม มีสิ่งที่เพิ่มเติมคือพวกมันเข้ารุกล้ำอย่างรวดเร็ว	베카라베는 다른 동물에 비하면 원형 그대로 몬스터화했습니다. 물론 공격성은 예외입니다.
ETC_20150317_000192	Geppetto	제페토
ETC_20150317_000193	ชื่อของมอนสเตอร์ตัวนี้เหมาะกับลักษณะของมัน แต่มันไม่ได้สะท้อนให้เห็นถึงธรรมชาติของมันเลย	이 몬스터의 명칭은 외양과는 어울리지만, 그 성질은 전혀 반영하지 않고 있습니다.
ETC_20150317_000194	Boowook	부우크
ETC_20150317_000195	Boowook เป็นหนึ่งในหลายระบบการป้องกันด้านซ้ายที่ Zachariel ผู้ยิ่งใหญ่ ทิ้งไว้ ในสุสานหลวง	자카리엘이 남긴 왕릉의 수비시설 중의 하나입니다.
ETC_20150317_000196	Bearkaras	베아카라스
ETC_20150317_000197	Pino	피노
ETC_20150317_000198	Pino ได้รับการตั้งชื่อดังกล่าวหลังจากที่ผู้ค้นพบคนแรกที่สังเกตเห็นความคล้ายคลึงกับ Geppetto	초기 발견자들은 제페토와 피노 사이에 유사성이 있다고 생각해 이런 이름을 붙였습니다.
ETC_20150317_000199	Helmet Bug	투구벌레
ETC_20150317_000200	พวกมมอนสเตอร์เหล่านี้ดูไม่เป็นพิษภัยมากกว่าขนาดและความแข็งแกร่งของพวกมันเมื่อ้ทียบกับสิ่งอื่นๆที่น่ากลัวบนโลกนี้	단순히 크기와 공격성만 더 강화된 이런 몬스터는 차라리 안심이 됩니다.
ETC_20150317_000201	Coliflower	콜리플라워
ETC_20150317_000202	แม้ว่ามอนสเตอร์ตัวนี้ไม่ได้เป็นภัยต่อมนุษย์,  แต่ก็ยังคงโจมตีสัตว์เลือดอุุ่นทั้งหมด	이 고정형 몬스터는 딱히 인간에게 적대적이진 않으나 모든 항온동물을 공격합니다.
ETC_20150317_000203	Coliflowerr	콜리플라워르
ETC_20150317_000204	Vikaras	비카라스
ETC_20150317_000205	ถึงแม้ว่าแต่เดิมสร้างขึ้นเพื่อปกป้องสุสานหลวง, แต่มีการเปลี่ยนแปลงมาให้โจมตีทุกคนที่เข้ามา	기원은 왕릉의 시설물이지만 현재는 모든 생명체를 공격하는 오작동 상태입니다.
ETC_20150317_000206	Cockatrice	코카트리스
ETC_20150317_000207	ในขณะที่ Cockatrice ปกติมีขนาดค่อนข้างเล็ก, แต่ลมหายใจและการมองของมัน สามารถทำให้ศัตรูกลายเป็นหินได้ในชั่วอึดใจเดียว.	작은 크기의 코카트리스입니다. 물론 석화에 주의해야합니다.
ETC_20150317_000208	Tombdog	툼독
ETC_20150317_000209	Zinutekas	지누테카스
ETC_20150317_000210	หากว่ารูปร่างของพวกเขาทำให้เกิดความเข้าใจผิดกับมอนสเตอร์ตัวอื่นๆ ที่ดูคล้ายกัน,  Zinutekas สร้างของปลอมขึ้นด้วยเวทมนตร์	외양이 유사한 다른 몬스터와 혼동되기도 하지만, 이들은 인공적인 마법피조물입니다.
ETC_20150317_000211	Pokubu	포쿠부
ETC_20150317_000212	ถึงดูแค่เพียงรูปร่างภายนอก แต่Pokubu ค่อนข้างดุร้ายทีเดียว	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다.
ETC_20150317_000213	Gray Pokubu	회색 포쿠부
ETC_20150317_000214	Zinutena	지누테나
ETC_20150317_000215	Lauzinutena	라우지누테나
ETC_20150317_000216	Dandel	단델
ETC_20150317_000217	สิ่งที่น่ากลัวมากกว่าเส้นผมที่นุ่มของ Dandel, คือความมีความก้าวร้าวกว่าที่เห็น	단델의 솜털이 각질화한 것보다 무서운 것은 늘어난 활동력과 공격성입니다. 
ETC_20150317_000218	Candle Spider	양초거미
ETC_20150317_000219	Blue Candle Spider	푸른 양초거미
ETC_20150317_000220	Yellow Candle Spider	노란 양초거미
ETC_20150317_000221	Corpse Flower	시체꽃
ETC_20150317_000222	Blue Corpse Flower	푸른 시체꽃
ETC_20150317_000223	Green Corpse Flower	초록 시체꽃
ETC_20150317_000224	Winged Frog	날개 개구리
ETC_20150317_000225	เนื่องจากสภาพแวดล้อม, มอนสเตอร์ตัวนี้จึงมีความหลากหลายรูปแบบ หนึ่งในนี้คือมีการพัฒนาให้มีปีก	개구리는 환경에 따라 다양한 형태로 몬스터화 되었는데 이 경우에는 날개를 지니도록 변형되었습니다.
ETC_20150317_000226	Green Winged Frog	초록 날개 개구리
ETC_20150317_000227	Gray Winged Frog	회색 날개 개구리
ETC_20150317_000228	Liverwort	우산이끼
ETC_20150317_000229	Liverwort v2	우산이끼v2
ETC_20150317_000230	Leaf Bug	잎방개
ETC_20150317_000231	ภายในร่างกายของพวกมันจะดูไม่กลวงแม้ว่าจะมีลักษณะเป็นสิ่งมีชีวิตก็ตาม	잎방개의 속은 비어있지 않습니다. 
ETC_20150317_000232	Catacombs Leaf Bug	카타콤 잎방개
ETC_20150317_000233	King Liverwort	킹 우산이끼
ETC_20150317_000234	ลางร้ายของ Liverwort	불길한 킹 우산이끼
ETC_20150317_000235	Salamion	살라미온
ETC_20150317_000236	Salindy	살린디
ETC_20150317_000237	Salun	살룬
ETC_20150317_000238	Gravegolem	묘지골렘
ETC_20150317_000239	Golem มีชีวิตอยู่ตอนนี้โดยถูกครอบงำจากพลังชั่วร้าย แต่เดิมสร้างขึ้นด้วยความตั้งใจที่ดี,	본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이는 골렘입니다.
ETC_20150317_000240	Drake	드레이크
ETC_20150317_000241	ปีศาจส่วนน้อยถูกเรียกโดยผู้บังคับบัญชาของปีศาจเพื่อที่ไปบุกหอคอย	탑의 공략을 위해 마족들이 마계에서 차출한 하위마족입니다. 
ETC_20150317_000242	Green Drake	초록 드레이크
ETC_20150317_000243	ปีศาจส่วนน้อยเหล่านี้มาในรูปแบบนับไม่ถ้วน เนื่องจากจำนวนที่หนาแน่นของพวกมัน	하급 마족으로 마계에는 이들이 수를 셀 수 없을 정도로 많고 종류도 다양하다고 합니다.
ETC_20150317_000244	Black Drake	검은 드레이크
ETC_20150317_000245	สายพันธุ์นี้ครั้งนึงเคยค่อนข้างหายาก; อย่างไรก็ตาม เมื่อไม่นานมานี้ จำนวนของพวกเขาเพิ่มขึ้นอย่างมหาศาล	이들은 원래 희귀한 생물이었으나 근래 숫자가 늘어났습니다.
ETC_20150317_000246	Big Cockatrice	빅 코카트리스
ETC_20150317_000247	พวก Cockatrice ใหญ่ค่อนข้างอันตราย, การจ้องมองและลมหายใจของมัน สามารถทำให้ศัตรูกลายเป็นหินได้ เสน่ห์นี้สิ่งมีชีวิตที่ไม่ควรนำมาใช้อย่างสะเพร่า	대형 코카트리스입니다. 위험성, 특히 석화위험성은 아무리 강조해도 지나치지 않습니다.
ETC_20150317_000248	Green Cockat	초록 코카트
ETC_20150317_000249	Red Cockat	붉은 코카트
ETC_20150317_000250	Sequoia	세콰이아
ETC_20150317_000251	Blue Sequoia	푸른 세콰이아
ETC_20150317_000252	Corrupted	코럽티드
ETC_20150317_000253	Blue Corrupted	푸른 코럽티드
ETC_20150317_000254	Bagworm	누덕고치
ETC_20150317_000255	จำนวนของ Bagworms จะไม่เพิ่มขึ้นอีกต่อไป,  ปัจจุบันประชากรของมันยังมีพอไม่ต้องกังวลเกี่ยวกับการสูญพันธุ์	누덕고치는 더 이상 발생하지는 않지만, 현재 개체수만으로도 멸종을 걱정할 필요가 없는 몬스터입니다. 
ETC_20150317_000256	Bagworm	누덕고치트
ETC_20150317_000257	Sequoia Flame	세콰이아의 불길
ETC_20150317_000258	ร่างของมันหายไป ถ้าคุณอยู่ห่างจากมันเป็นเวลานาน	본체에서 오랜 시간 멀어지면 자연히 소멸됩니다.
ETC_20150317_000259	Old Hook	누덕 갈고리
