INTL_20160320_000001	จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	인던,미션 1회 추가입장
INTL_20160419_000012	เมื่อใช้แล้วจะได้รับ 266 TP.	사용 시 266 TP를 획득합니다.
INTL_20160419_000013	เมื่อใช้แล้วจะได้รับ 112 TP.	사용 시 112 TP를 획득합니다.
INTL_20160419_000014	คลิกขวาเพื่อรับไอเทมดังต่อไปนี้s:{nl} - 455 TP{nl} - โทเค็น (60 วัน){nl} - เครื่องประดับศีรษะ - ตุ๊กตาPopolion{nl} - เครื่องประดับศีรษะ - ตุ๊กตาHanaming{nl} - ตั๋วคู่หูHoglan{nl} - น้ำยารีเซ็ทสถานะ{nl} - น้ำยารีเซ็ทสกิล{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 455 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}
INTL_20160419_000015	คลิกขวาเพื่อรับไอเทมดังต่อไปนี้s:{nl} - 266 TP{nl} - โทเค็น (30 วัน){nl} - เครื่องประดับศีรษะ - ตุ๊กตาPopolion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 266 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}
INTL_20160425_000016	คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +20% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - สามารถใช้ร้านค้าส่วนตัวได้ 60 ครั้ง	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능
INTL_20160425_000017	มอบสิทธิประโยชน์Tokenแก่ทุกตัวละครของคุณในเซิร์ฟเวอร์เป็นเวลา30วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - สามารถใช้ร้านค้าส่วนตัวได้ 30 ครั้ง{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장
INTL_20160425_000018	มอบสิทธิประโยชน์Tokenแก่ทุกตัวละครในเซิร์ฟเวอร์เป็นเวลา60วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30%  {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - สามารถใช้ร้านค้าส่วนตัวได้ 60 ครั้ง{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장
INTL_20160426_000019	สิทธิประโยชน์Tokenสำหรับทุกตัวละครของคุณจะคงอยู่ในเซิร์ฟเวอร์เป็นเวลา60วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} -สามารถเรียนรู้2คุณลักษณะพร้อมกัน{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ5ครั้งในตลาด{nl} -  เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl}(ซ้อนทับประสิทธิภาพEXP){nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} -  สามารถใช้ร้านค้าส่วนตัวได้ 60ครั้ง{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능
INTL_20160426_000020	มอบสิทธิประโยชน์Tokenแก่ทุกตัวละครของคุณในเซิร์ฟเวอร์เป็นเวลา30วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ10ครั้งในตลาด{nl} -  เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - สามารถใช้ร้านค้าส่วนตัวได้  30 ครั้ง{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장
INTL_20160426_000021	สิทธิประโยชน์Tokenสำหรับทุกตัวละครของคุณจะคงอยู่ในเซิร์ฟเวอร์เป็นเวลา60วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} -สามารถเรียนรู้2คุณลักษณะพร้อมกัน{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ10ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl}(ซ้อนทับประสิทธิภาพEXP){nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} -  สามารถใช้ร้านค้าส่วนตัวได้ 60 ครั้ง{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장
INTL_20160512_000022	ใช้แล้วจะได้รับไอเทมดังต่อไปนี้:{nl} - 190 TP{nl} - Token: 15 วัน{nl} - 20x Highly Condensed HP & SP Potion{nl} - 15x Soul Crysta{nl} - 15x Megaphone{nl} - 15xWarp Scroll{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}
INTL_20160512_000023	ใช้แล้วจะได้รับ 190 TP.	사용 시 190 TP를 획득합니다.
INTL_20160512_000024	ใช้แล้วจะได้รับไอเทมดังต่อไปนี้:{nl} - Token: 30 วัน{nl} - 4x Enchant Scroll{nl} - 5xInstanced Dungeon Reset Voucher{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}
INTL_20160728_000025	มอบสิทธิประโยชน์Tokenแก่ทุกตัวละครของคุณในเซิร์ฟเวอร์เป็นเวลา30วัน. คลิกขวาเพื่อใช้งาน{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ10ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} -  สามารถใช้ร้านค้าส่วนตัวได้ 30 ครั้ง{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장
INTL_20160728_000026	มอบสิทธิประโยชน์Tokenแก่ทุกตัวละครของคุณในเซิร์ฟเวอร์เป็นเวลา60วัน. คลิกขวาเพื่อใช้.{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ10ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - สามารถใช้ร้านค้าส่วนตัวได้60ครั้ง{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 1회 추가입장
INTL_20160728_000027	มอบสิทธิประโยชน์Tokenแก่ทุกตัวละครของคุณในเซิร์ฟเวอร์เป็นเวลา30วัน. คลิกขวาเพื่อใช้.{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ10ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - สามารถใช้ร้านค้าส่วนตัวได้ 30 ครั้ง{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장
INTL_20160728_000028	มอบสิทธิประโยชน์Tokenแก่ทุกตัวละครของคุณในเซิร์ฟเวอร์เป็นเวลา 7 วัน. คลิกขวาเพื่อใช้.{nl}[สิทธิประโยชน์Token]{nl} - สามารถเรียนรู้คุณลักษณะ{nl} - ลดภาษีการค้าลง (30% {img white_right_arrow 16 16} 10%){nl} - สามารถลงรายการ10ครั้งในตลาด{nl} - เพิ่มความเร็วในการเคลื่อนที่ตัวละคร 3 หน่วย{nl} - +30% EXP จากการยิงมอนสเตอร์{nl} - สามารถใช้ท่าทางพิเศษ{nl} - เพื่มbuffสูงสุด{nl} - จำนวนครั้งในการเข้าภารกิจและดันเจี้ยนเพิ่มขึ้น 1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장
INTL_20161107_000029	คลิกขวาเพื่อรับไอเทมดังต่อไปนี้:{nl} - 150x Highly Enriched HP Potion {nl} -  150x Highly Enriched SP Potion {nl}- 20x Honey Dumpling {nl}- 20x Settlement Support Potion{nl}- 10x Instance Clear Voucher {img star_mark 20 20}{nl}- 20x Soul Crystal{nl} - 30x Warp Scroll {nl}- 10x Enchant Scroll{nl} - 1x Skill Reset Potion{nl}- 1x Stat Reset Potion	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 고농축 HP포션 150개{nl} - 고농축 SP포션 150개{nl} - 대왕꿀송편 20개{nl}- 정착지원 포션 20개{nl}- 인스턴스 던전 소탕권 [★] 10개{nl}- 소울 크리스탈 20개{nl}- 워프주문서 30개{nl}- 마부스크롤 10개{nl}- 스킬 초기화 포션 1개{nl}- 스탯 초기화 포션 1개
INTL_20161114_000030	จะได้รับเงินจากการขายในตลาดหลังจาก: 24 ชั่วโมง	마켓 판매 실버대금 딜레이 24시간.
INTL_20161114_000031	จะได้รับเงินจากการขายในตลาด ด้วยTokenหลังจาก: 1 ชั่วโมง	토큰전용 판매실버대금 1시간.
INTL_20161114_000032	จะได้รับเงินจากการขายในตลาด ด้วยTokenหลังจาก: 24 ชั่วโมง	토큰전용 판매실버대금 24시간.
INTL_20161121_000033	คลิกขวาเพื่อรับไอเทมดังต่อไปนี้:{nl} - 100x Highly Condensed HP Potion {nl} -  100x Highly Condensed SP Potion {nl}- 10x Honey Dumpling {nl}- 10x Settlement Support Potion{nl}- 5x Instanced Clear Voucher {img star_mark 20 20}{nl} - 1x Skill Reset Potion{nl}- 1x Stat Reset Potion	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 고농축 HP포션 100개{nl} - 고농축 SP포션 100개{nl} - 대왕꿀송편 10개{nl}- 정착지원 포션 10개{nl}- 인스턴스 던전 소탕권 [★] 5개{nl}- 스킬 초기화 포션 1개{nl}- 스탯 초기화 포션 1개
INTL_20161214_000034	ผู้ใช้Tokenไม่ได้รับผลกระทบ	토큰 사용자는 상/하안가에 영향을 받지 않는다.
INTL_20161214_000035	Token สามารถซื้อขายได้หลังจากทำการซื้อขายในตลาดหรือไม่?  (1: สามารถซื้อขายได้, 0:ไม่สามารถซื้อขายได้)	토큰은 마켓에서 거래한 이후에도 계속 거래 가능하게 할 것인가?(1:거래가능, 0:거래불가)
INTL_20170510_000036	คลิกขวาเพื่อรับไอเทมดังต่อไปนี้:{nl} - Token: 7 Days [Event]{nl} - Enchant Scroll (14 Days) x10{nl} - Emote Plus: Popolion{nl}- Simple Costume Box{nl}- Imperial Fan (30 Days){nl} - Red Beret{nl} - Light Salmon Dye{nl} - Crimson Contact Lenses{nl} - Lv2 Settlement Support Potion x10{nl} -Keista Restoration Potion Lv2 x20	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰:7일[증정용]{nl} - 마법 부여 스크롤(14일) 10개{nl} - 이모티콘 플러스 패키지 : 포포리온{nl}- 심플 코스튬 상자{nl}- 파초선(30일){nl} - 붉은 베레모{nl} - 라이트 살몬 염색약{nl} - 크림슨 렌즈{nl} - 정착 지원 포션 Lv2 10개{nl} - 케이스타스 회복포션Lv2 20개
INTL_20171017_000037	รูปปั้นขนาดเล็กที่ถูกแกะสลักโดยช่างแกะสลัก{nl}สามารถนำไปแลกเปลี่ยนเป็น เหรียญตราสำหรับแลกเปลี่ยนได้ที่ TP Trader	딥디르비가 만든 착용 가능한 세계수 조각 머리 장식입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.
INTL_20171017_000038	Daemon State Record Interval [ms]	Daemon State 기록 간격[ms]
