SKILL_20150317_000001	Attack	공격
SKILL_20150317_000017	[Fragaras] กัดอย่างเร็ว	[프라가라스] 빠르게 물어뜯기
SKILL_20150317_000018	[Fragaras] เคี้ยวเสียงดัง	[프라가라스] 크게 물어뜯기
SKILL_20150317_000019	[Fragaras] โจมตีทั่วไป, AoE รูปกรวย	[프라가라스] 일반 공격, 전방 부채꼴
SKILL_20150317_000020	โจมตีพื้นฐานทั่วไป	베이직 일반 공격
SKILL_20150317_000021	[Meduja] เวทย์, เวทย์, โจมตีธาตุสายฟ้า 1 ครั้ง	[미듀쟈] 매직, 매직, 뇌속성 1회 공격
SKILL_20150317_000022	[Gribaru] กาพภาพ, เฉือน, โจมตีธาตุสายฟ้า 1 ครั้ง	[그리바루] 물리, 베기, 뇌속성 1회 공격
SKILL_20150317_000023	[Gribaru] กาพภาพ, เฉือน, โจมตีกระเด็นถอยหลังธาตุสายฟ้า 1 ครั้ง	[그리바루] 물리, 베기, 뇌속성 1회 넉백 공격
SKILL_20150317_000024	[Bite] กายภาพ, แทง, โจมตีธาตุพิษ 1 ครั้ง	[바이트] 물리, 찌르기, 독속성 1회 공격
SKILL_20150317_000025	[Banshee] เวทย์, เวทย์, โจมตีลมหายใจ 1 ครั้ง	[밴시] 매직, 매직, 얼음속성, 1회 입김으로 타격
SKILL_20150317_000026	[Banshee] เวทย์, เวทย์, ธาตุน้ำแข็ง, Ice Pike	[밴시] 매직, 매직, 얼음속성, 아이스파이크
SKILL_20150317_000027	[Mini Griba] กายภาพ,ตี, ธาตุสายฟ้า, ตีสองมือ 1 ครั้ง	[미니그리바] 물리, 타격, 뇌속성, 1회 양손으로 치기
SKILL_20150317_000028	[Big Griba] กายภาพ,ตี, ธาตุสายฟ้า, ตีอย่างแรง 1 ครั้ง	[빅그리바] 물리, 타격, 뇌속성, 1회 강하게 내려치기
SKILL_20150317_000029	[Big Griba] กายภาพ,ตี, ธาตุสายฟ้า, พ่นพิษ 1 ครั้ง	[빅그리바] 물리, 타격, 뇌속성, 1회 독무 내뿜기
SKILL_20150317_000030	[Big Griba] กายภาพ,ตี, ธาตุสายฟ้า, ตีพื้นสองมือ 1 ครั้ง	[빅그리바] 물리, 타격, 뇌속성, 1회 양손으로 바닥 치기
SKILL_20150317_000031	[Haming] กายภาพ,ตี, ธาตุสายฟ้า, เอาหัวโขก	[하밍] 물리, 타격, 뇌속성, 1타 전방 머리 박치기
SKILL_20150317_000032	[Haming] กายภาพ,ตี, ธาตุสายฟ้า, สกิล Counter	[하밍] 물리, 타격, 뇌속성, 1타 전방 카운터 스킬
SKILL_20150317_000033	[Haming] กายภาพ,ตี, ธาตุสายฟ้า, กระโดดหมุนโจมตี	[하밍] 물리, 타격, 뇌속성, 1타 점프하면서 돌려치기 공격
SKILL_20150317_000034	[Truffle] กายภาพ,ตี, ธาตุสายฟ้า, บอดี้สแลม	[트리펠리] 물리, 떄리기, 뇌속성, 대기해서 짧게 몸통 박치기
SKILL_20150317_000035	[Truffle] กายภาพ,ตี, ธาตุสายฟ้า, ตีจากบนลงล่าง	[트리펠리] 물리, 떄리기, 뇌속성, 위에서 아래로 내려치기
SKILL_20150317_000036	[Truffle] กายภาพ,ตี, ธาตุสายฟ้า, เอาตัวกระแทก	[트리펠리] 물리, 떄리기, 뇌속성, 대기해서 몸통 박치기
SKILL_20150317_000037	[Slime_Dark] กายภาพ,ตี, ธาตุมืด, เอาหัวโขก	[다크슬라임] 물리, 타격, 암속성, 1회 박치기 공격
SKILL_20150317_000038	[Slime_Dark] กายภาพ, ตี, ธาตุมืด, โจมตี 1 ครั้ง	[다크슬라임] 물리, 타격, 암속성, 1회 공격
SKILL_20150317_000039	[Kepa] กายภาพ, ตี, ธาตุพิษ, AoE รูปกรวย	[케파] 물리, 타격, 독속성, 전방 부채꼴
SKILL_20150317_000040	[Addicted Kepa] โจมตีทั่วไป, AoE รูปกรวย	[중독된 케파] 일반 공격, 전방 부채꼴
SKILL_20150317_000041	[Old Kepa] กายภาพ, ตี, ธาตุดิน, พ่นควัน	[늙은케파] 물리, 타격, 땅속성, 1회 연기 뿜기 공격
SKILL_20150317_000042	[Thornball]  กายภาพ, แทง, ธาตุพิษ, AoE รูปกรวย	[던볼] 물리, 찌르기, 독속성 전방 부채꼴 몸통 공격
SKILL_20150317_000043	[Matsum] กายภาพ, ตี, ธาตุไฟ, AoE รูปกรวย	[메슘] 물리, 타격, 화속성, 전방 부채꼴
SKILL_20150317_000044	[Sakmoli] เวทย์, ตี, ธาตุน้ำแข็ง โจมตีทั่วไป 1 ครั้ง	[사크몰리] 매직, 타격, 수속성. 1회 일반 공격
SKILL_20150317_000045	[Sakmoli] เวทย์, ตี, ธาตุน้ำแข็ง, โจมตีทั่วไป 1 ครั้ง	[사크몰리] 매직, 타격, 수속성, 1회 일반 공격
SKILL_20150317_000046	[Jukopus] กายภาพ,ตี, ธาตุดิน, เอาตัวกระแทก	[유코푸스] 물리, 타격, 땅속성, 1타 전방 몸통 박치기
SKILL_20150317_000047	[Jukopus] กายภาพ,ตี, ธาตุดิน, กระโดดเอาตัวกระแทก	[유코푸스] 물리, 타격, 땅속성, 1타 전방 점프하여 몸통 박치기
SKILL_20150317_000048	[Red Bushspider] กระโดดฟัน	[붉은 크루마보] 점프해서 내려찍기
SKILL_20150317_000049	[Red Bushspider] โจมตีทั่วไป, AoE รูปกรวย	[붉은 크루마보] 일반 공격, 전방 부채꼴
SKILL_20150317_000050	[Baby Dionia] โจมตีทั่วไป, AoE รูปกรวย	[디오니아 새끼] 일반 공격, 전방 부채꼴
SKILL_20150317_000051	[Mini Griba] กายภาพ, ตี, ธาตุพิษ, One Punch	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 1회 원 펀치
SKILL_20150317_000052	[Mini Griba] กายภาพ, ตี, ธาตุพิษ, One-two Punch	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 2회 원투 펀치
SKILL_20150317_000053	[Mini Griba] กายภาพ,ตี, ธาตุพิษ, ตีสองมือ 1 ครั้ง	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 1회 양손으로 치기
SKILL_20150317_000054	[Griba] กายภาพ, ตี, ธาตุน้ำแข็ง, โจมตี 1 ครั้ง	[푸른 빅 그리바] 물리, 타격, 수속성 1회 공격
SKILL_20150317_000055	[Griba] เวทย์, เวทย์, ธาตุน้ำแข็ง, โจมตี 1 ครั้ง	[푸른 빅 그리바] 매직, 매직, 수속성 1회 공격
SKILL_20150317_000056	[Old Kepa] โจมตีทั่วไป, AoE รูปกรวย	[늙은케파] 일반 공격, 전방 부채꼴
SKILL_20150317_000057	[Tree Ghost] ตีมือเดียว	[나무유령] 한손으로 타격
SKILL_20150317_000058	[Tree Ghost] ตีสองมือ	[나무유령] 양손으로 박수치기
SKILL_20150317_000059	[Tree Ghost] กระทืบพื้น	[나무유령] 바닥을 내려치기
SKILL_20150317_000060	[Cockatrice] เวทย์, เวทย์, ธาตุไฟ, พ่นไฟ 3 ครั้ง	[코카트리스] 매직, 매직, 화속성, 3회 불 뿜어내기 공격
SKILL_20150317_000061	[Zinute] โจมตีธาตุไฟ แทง กายภาพ 1 ครั้ง	[지누테] 물리 찌르기 화속성 1회 공격
SKILL_20150317_000062	[Zinute] โจมตีธาตุไฟ เฉือน กายภาพ 1 ครั้ง	[지누테] 물리 베기 화속성 1회 공격
SKILL_20150317_000063	[Tontulia] โจมตีธาตุสายฟ้า ตี กายภาพ 1 ครั้ง	[톤투리아] 물리 타격 전기속성 1회 공격
SKILL_20150317_000064	[Tontulia] โจมตีธาตุสายฟ้า ตี กายภาพ 2 ครั้ง	[톤투리아] 물리 떄리기 전기속성 2회 공격
SKILL_20150317_000065	[Tontus] โจมตีธาตุพิษ, ตีกายภาพ 2 ครั้ง	[톤투스] 물리 떄리기, 독속성 2회 공격
SKILL_20150317_000066	[Tontus] โจมตีธาตุพิษ,แทงกายภาพ 1 ครั้ง	[톤투스] 물리 찌르기, 독속성 1회 공격
SKILL_20150317_000067	[Tontus] โจมตีธาตุพิษ, ตีกายภาพ 1 ครั้ง	[톤투스] 물리 떄리기, 독속성 1회 공격
SKILL_20150317_000068	[Vekarabe] กายภาพ, แทง, ธาตุพิษ, โจมตีแทงไปด้านหน้า	[베카라베] 물리, 찌르기, 독속성, 전방 1회 찌르기 공격
SKILL_20150317_000069	[Vekarabe] กายภาพ, แทง, ธาตุพิษ, โจมตีแทงขึ้นไปด้านหน้า	[베카라베] 물리, 찌르기, 독속성, 전방 1회 올려찌르기 공격
SKILL_20150317_000070	[Geppetto] ตีกายภาพ, โจมตีธาตุดิน 2 ครั้ง	[제페토] 물리 타격, 땅속성 2회 공격
SKILL_20150317_000071	[Geppetto] ตีกายภาพ, โจมตีธาตุดิน 1 ครั้ง	[제페토] 물리 타격, 땅속성 1회 공격
SKILL_20150317_000072	[Geppetto] ตีกายภาพ, โจมตีธาตุดิน 1 ครั้ง	[제페토] 물리 떄리기, 땅속성 1회 공격
SKILL_20150317_000073	[Boowook] กายภาพ, ตี, โจมตีธาตุดิน 1 ครั้ง	[부우크] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000074	[Boowook] กายภาพ, ตี, โจมตีกระทืบสองเท้าธาตุดิน 1 ครั้ง	[부우크] 물리, 타격, 땅속성 두발 내려치기 1회 공격
SKILL_20150317_000075	[Desmodus] กายภาพ, แทง, ตีด้วยหางธาตุมืด	[데스모두스] 물리, 찌르기, 암속성 꼬리로 타격
SKILL_20150317_000076	[Desmodus] กายภาพ, แทง, ตีด้วยตัวธาตุมืด	[데스모두스] 물리, 찌르기, 암속성 몸통으로 타격
SKILL_20150317_000077	[Pino] ตีกายภาพ, โจมตีธาตุดิน 1 ครั้ง	[피노] 물리 타격, 땅속성 1회 공격
SKILL_20150317_000078	[Cauliflower] กายภาพ, แทง, ธาตุพิษ, ตีด้วยหนวด	[콜리플라워] 물리, 찌르기, 독속성, 1타 촉수로 내려치기
SKILL_20150317_000079	[Cauliflower] กายภาพ, แทง, ธาตุพิษ, โจมตีด้วยหนวด	[콜리플라워] 물리, 찌르기, 독속성, 1타 촉수로 후려치기
SKILL_20150317_000080	[Cauliflower] กายภาพ, แทง, ธาตุพิษ, AoE รูปกรวย	[콜리플라워] 물리, 찌르기, 독속성, 바닥을 내려치기
SKILL_20150317_000081	[Helmet Bug] กายภาพ, แทง, ธาตุดิน, โจมตี 1 ครั้ง	[투구벌레] 물리, 찌르기, 땅속성, 1회 공격
SKILL_20150317_000082	[Helmet Bug] โจมตีทั่วไป 2	[투구벌레]일반공격2
SKILL_20150317_000083	[Bikaaras Mage] เวทย์, เวทย์, ธาตุไฟ, โจมตี 1 ครั้ง	[비카라스 메이지] 매직, 매직, 화속성, 1회 공격
SKILL_20150317_000084	[Bikaaras Mage] กายภาพ, เฉือน, ธาตุไฟ, โจมตี 1 ครั้ง	[비카라스 메이지] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000085	[Vikaras] กายภาพ, เฉือน, ธาตุไฟ, โจมตี 1 ครั้ง	[비카라스] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000086	[Vikaras] กายภาพ, เฉือน, ธาตุไฟ, ตีพื้น 1 ครั้ง	[비카라스] 물리, 베기, 화속성, 1회 바닥 내려치기
SKILL_20150317_000087	[Mutant Chinency] โจมตีทั่วไป, มิสไซร์ด้านหน้า	[변이 치넨시] 일반 공격, 전방 미사일
SKILL_20150317_000088	[Zinute] ตีมือเดียว	[지누테] 한손으로 타격
SKILL_20150317_000089	[Zinute] ปรบมือสองมือ	[지누테] 양손으로 박수치기
SKILL_20150317_000090	[Zinute] ตีพื้น	[지누테] 바닥을 내려치기
SKILL_20150317_000091	[Lauzinute] กายภาพ, แทง, โจมตีธาตุไฟ 1 ครั้ง	[라우지누테] 물리, 찌르기, 화속성 1회 공격
SKILL_20150317_000092	[Lauzinute] กายภาพ, แทง, โจมตีหมุนธาตุไฟ 1 ครั้ง	[라우지누테] 물리, 찌르기, 화속성 회전 공격
SKILL_20150317_000093	[Dandel] โจมตีธาตุสายฟ้า แทง กายภาพ 1 ครั้ง	[단델] 물리 찌르기 뇌속성 1회 공격
SKILL_20150317_000094	[Rusrat] กาพภาพ, เฉือน, โจมตีธาตุสายฟ้า 2 ครั้ง	[러스라트] 물리, 베기, 뇌속성 2회 공격
SKILL_20150317_000095	[Rusrat] กาพภาพ, เฉือน, โจมตีธาตุสายฟ้า 1 ครั้ง	[러스라트] 물리, 베기, 뇌속성 1회 공격
SKILL_20150317_000096	[Medakia] กาพภาพ, เฉือน, โจมตีธาตุมืด 1 ครั้ง	[메다키아] 물리, 베기, 암속성 1회 공격
SKILL_20150317_000097	[Medakia] เวทย์, เวทย์, โจมตีธาตุมืด 1 ครั้ง	[메다키아] 매직, 매직, 암속성 1회 공격
SKILL_20150317_000098	[Medakia]  ตีพื้น	[메다키아] 바닥을 내려치기
SKILL_20150317_000099	[Wheelen] ปรบมือสองมือ	[휠렌] 양손으로 박수치기
SKILL_20150317_000100	[Mauros] กายภาพ, ตี, ธาตุมืด, โจมตี 1 ครั้ง	[마우로스] 물리, 타격, 암속성 1회 공격
SKILL_20150317_000101	[Mauros] กายภาพ, ตี, โจมตีตีธาตุมืด 1 ครั้ง	[마우로스] 물리, 타격, 암속성 1회 내려치기 공격
SKILL_20150317_000102	[Sauga] โจมตีธาตุดินตีกายภาพ 1 ครั้ง	[사우가] 물리 타격 땅속성 1회 공격
SKILL_20150317_000103	[Sauga] กายภาพ, ตี, ตีพื้นธาตุดิน	[사우가] 물리, 타격, 땅속성 바닥을 내려치기
SKILL_20150317_000104	โจมตีทั่วไป Pumpkin	호박 일반 공격.
SKILL_20150317_000105	Attack 2	공격2
SKILL_20150317_000106	โจมตีทั่วไป Pumpkin 2	호박 일반 공격2.
SKILL_20150317_000107	[Saurman Priest] โจมตีทั่วไป	[사우르맨 사제] 일반 공격.
SKILL_20150317_000108	สกิล	스킬
SKILL_20150317_000109	[Saurman Priest] สกิล	[사우르맨 사제] 스킬.
SKILL_20150317_000110	โจมตีทั่วไป Saurman	사우르맨 일반 공격.
SKILL_20150317_000111	โจมตีทั่วไป Saurman 2	사우르맨 일반 공격2.
SKILL_20150317_000112	โจมตีทั่วไป Boy Ghost	소년 유령 일반 공격.
SKILL_20150317_000113	สกิล Boy Ghost	소년 유령 스킬.
SKILL_20150317_000114	โจมตีทั่วไป Uncle Ghost	아저씨 유령 일반 공격.
SKILL_20150317_000115	สกิล Uncle Ghost	아저씨 유령 스킬.
SKILL_20150317_000116	โจมตีทั่วไป Goble Elite	고블엘리트 일반 공격.
SKILL_20150317_000117	โจมตีทั่วไป Goble Elite 2	고블엘리트 일반 공격2.
SKILL_20150317_000118	โจมตีทั่วไป Screw Zombie	나사 좀비 일반 공격.
SKILL_20150317_000119	โจมตีทั่วไป Screw Zombie 2	나사 좀비 일반 공격2.
SKILL_20150317_000120	โจมตีทั่วไป Berserker Zombie	광전사 좀비 일반 공격.
SKILL_20150317_000121	โจมตีทั่วไป Candle Zombie	양초 좀비 일반 공격.
SKILL_20150317_000122	โจมตีทั่วไป Zombie Archer	좀비 궁수 일반 공격.
SKILL_20150317_000123	[High Vubbe] กายภาพ, เฉือน, ธาตุน้ำ, โจมตีทั่วไป	[하이 부베] 물리, 베기, 수속성, 1회 일반 공격
SKILL_20150317_000124	[High Vubbe Archer] ระยะไกล, แทง, ธาตุน้ำ, โจมตีทั่วไป	[하이 부베 궁수] 원거리, 찌르기, 수속성, 1회 일반 공격
SKILL_20150317_000125	โจมตีทั่วไป Girl Ghost	소녀 유령 일반 공격.
SKILL_20150317_000126	สกิล Girl Ghost	소녀 유령 스킬.
SKILL_20150317_000127	โจมตีทั่วไป Madam Ghost	아줌마 유령 일반 공격.
SKILL_20150317_000128	สกิล Madam Ghost	아줌마 유령 스킬.
SKILL_20150317_000129	โจมตีทั่วไป Mirtis Eyeball	미르티스눈알 일반 공격.
SKILL_20150317_000130	โจมตีทั่วไป Mirtis Eyeball 2	미르티스눈알 일반 공격2.
SKILL_20150317_000131	โจมตีทั่วไป Specter Elite	스펙터여 엘리트 일반 공격.
SKILL_20150317_000132	โจมตีทั่วไป Specter Elite 2	스펙터여 엘리트 일반 공격2.
SKILL_20150317_000133	[Chinency] กายภาพ, ตี, ธาตุดิน, หมุนไปตีด้านหน้า 1 ที	[치넨시] 물리, 타격, 땅속성, 1타 전방 돌려치기
SKILL_20150317_000134	[Popolion] กายภาพ,ตี, ธาตุดิน, เอาหัวโขก	[포포리온] 물리, 타격, 땅속성, 1타 전방 머리로 내려치기
SKILL_20150317_000135	[Popolion] กายภาพ,ตี, ธาตุดิน, โจมตีคลื่นเสียง 1 ที	[포포리온] 물리, 타격, 땅속성, 1타 전방 음파 날리기
SKILL_20150317_000136	[Range Chinency]  โจมตีทั่วไป, มิสไซร์ด้านหน้า	[원거리 치넨시] 일반 공격, 전방 미사일
SKILL_20150317_000137	[Range Chinency] สกิล 1, มิสไซร์ด้านหน้า, ทำให้กระเด็นถอยหลัง	[원거리 치넨시] 스킬1, 전방 미사일, 넉백 유발
SKILL_20150317_000138	[Chupacabra] กายภาพ,ตี, ธาตุดิน, เอาหัวโขก	[츄파카브라] 물리, 타격, 땅속성, 1타 전방 머리 박치기
SKILL_20150317_000139	[Chupacabra] กายภาพ,ตี, ธาตุดิน, กระโดดเอาตัวกระแทก	[츄파카브라] 물리, 타격, 땅속성, 1타 전방 점프하여 두다리로 내려치기
SKILL_20150317_000140	[Chupacabra] โจมตีทั่วไป Chupa 3	[츄파카브라] 츄파 일반 공격3
SKILL_20150317_000141	[Chupacabra] โจมตีทั่วไป Chupa 4	[츄파카브라] 츄파 일반 공격4
SKILL_20150317_000142	โจมตีทั่วไป Specter	스펙터여 일반 공격.
SKILL_20150317_000143	โจมตีทั่วไป Woodspirit	우드스피릿 일반 공격.
SKILL_20150317_000144	โจมตีทั่วไป Woodspirit 2	우드스피릿 일반 공격2.
SKILL_20150317_000145	โจมตีทั่วไป Guard	간수 일반 공격.
SKILL_20150317_000146	โจมตีทั่วไป Guard 2	간수 일반 공격2.
SKILL_20150317_000147	ระเบิดใหญ่	대폭발
SKILL_20150317_000148	ระเบิดใหญ่ (ป้องกัน)	대폭발(Defence)
SKILL_20150317_000149	โจมตีทั่วไปป้อมวันเวย์	일방향터렛 일반 공격.
SKILL_20150317_000150	[Ridimed] กายภาพ, ตี, ธาตุพิษ, โจมตี 1 ครั้ง	[리디메드] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000151	โจมตี Goblin Fighter	고블린 파이터 공격.
SKILL_20150317_000152	โจมตีทั่วไป Thorn Bush	가시덤불 일반 공격.
SKILL_20150317_000153	[Combat Soldiers] พลรบโจมตี	[전투병] 전투원 공격
SKILL_20150317_000154	[Combat Soldiers] พลรบโจมตี 2	[전투병] 전투원 공격2
SKILL_20150317_000155	สกิล Zombie Archer	좀비 궁수 스킬.
SKILL_20150317_000156	โจมตีทั่วไป Wheelchair Zombie	휠체어 좀비 일반 공격.
SKILL_20150317_000157	สกิล Wheelchair Zombie	휠체어 좀비 스킬.
SKILL_20150317_000158	Wall of Flame	화염의 벽
SKILL_20150317_000159	สร้างกำแพงไฟ ทำให้ศัตรูที่มาโดนเกิดความเสียหาย	화염의 벽을 생성하여 닿는 적에게 피해를 입힙니다.
SKILL_20150317_000160	Mine explosion	지뢰 폭발
SKILL_20150317_000161	ระเบิดกับระเบิด	폭발 지뢰의 폭발.
SKILL_20150317_000162	Toxic explosion	맹독 폭발
SKILL_20150317_000163	กับระเบิดพิษ	맹독 지뢰의 폭발.
SKILL_20150317_000164	Claymore explosion	크레모아 폭발
SKILL_20150317_000165	ระเบิด Claymore	크레모아 폭발.
SKILL_20150317_000166	Jump Attack	점프공격
SKILL_20150317_000167	Life Stream	생명의 흐름
SKILL_20150317_000168	Life Stream Hill	생명의 흐름 힐.
SKILL_20150317_000169	Glacier Wedge	빙하 쐐기
SKILL_20150317_000170	หลังจากปล่อย Glacier Wedge ต่อเนื่อง 2 ที	빙하 쐐기 2연타 이후.
SKILL_20150317_000171	Seed explosion	씨앗 폭발
SKILL_20150317_000172	ระเบิดเมล็ด	씨앗 폭발.
SKILL_20150317_000173	Flame explosion	살불 폭발
SKILL_20150317_000174	ระเบิดเปลวเพลิง	살불 폭발.
SKILL_20150317_000175	Snowstorm	눈보라
SKILL_20150317_000176	Meteor Bang	유성 강타
SKILL_20150317_000177	โจมตีทั่วไป	일반 공격
SKILL_20150317_000178	Smack Down	내려찍기
SKILL_20150317_000179	ตีลงไปและสร้างความเสียหายให้กับศัตรูด้านหน้า	수직으로 내려쳐서 전방의 적들에게 피해를 입히며 밀쳐냅니다.
SKILL_20150317_000180	โจมตีมิสไซร์	미사일공격
SKILL_20150317_000181	โจมตีป้อง AOS	AOS터렛 공격
SKILL_20150317_000182	[Woodman] โจมตี	[우드맨] 공격
SKILL_20150317_000183	โจมตี Salamander	샐러맨더 공격
SKILL_20150317_000184	[Vubbe Miner] กายภาพ, เฉือน, ธาตุดิน, กวัดแกว่งพลั่ว	[부베 광부] 물리, 베기, 땅속성, 1타 전방 곡괭이 휘두르기
SKILL_20150317_000185	โจมตีรูปปั้นห้องโถง	홀 석상 공격
SKILL_20150317_000186	สกิลรูปปั้นห้องโถง	홀 석상 스킬
SKILL_20150317_000187	Priest attack 1	사제 공격 1
SKILL_20150317_000188	Priest skill 1	사제 스킬 1
SKILL_20150317_000189	[Green Apparition] เวทย์, เวทย์, โจมตีสายฟ้า, โจมตี 1 ครั้ง	[초록 어패리션] 매직, 매직, 뇌속성, 1회 공격
SKILL_20150317_000190	Attack Statue 1	석상 공격 1
SKILL_20150317_000191	[Vubbe Theif] กายภาพ, เฉือน, ธาตุดิน, ควงหอก	[부베약탈자] 물리, 베기, 땅속성, 1타 전방 창으로 휘두르기
SKILL_20150317_000192	[Vubbe Theif] กายภาพ, แทง, ธาตุดิน, สกิล Aries	[부베약탈자] 물리, 찌르기 , 땅속성  아리에스 스킬
SKILL_20150317_000193	[Saurman Spearman] โจมตีทั่วไป	[사우르맨 창병] 일반 공격.
SKILL_20150317_000194	[Saurman Spearman] โจมตีทั่วไป 2	[사우르맨 창병] 일반 공격2.
SKILL_20150317_000195	[Vubbe Archer] ระยะไกล, แทง, ธาตุดิน, ยิงธนูไปด้านหน้า	[부베 궁수] 원거리, 찌르기, 땅속성, 1타 전방 화살공격
SKILL_20150317_000196	[Pokubu] กายภาพ, ตี, ธาตุดิน, โจมตีด้านหน้าด้วยเขาจากล่างขึ้นบน	[포쿠부] 물리, 타격, 땅속성, 1타 전방 밑에서 위로 뿔로 올려치기
SKILL_20150317_000197	[Bagworm] เวทย์, เวทย์, ธาตุพิษ, โจมตีพ่นพิษด้านหน้า	[누덕고치] 매직, 마법, 독속성, 1타 전방 독 뿌리기 공격
SKILL_20150317_000198	[Bagworm] ระยะไกล, เวทย์, ธาตุพิษ, ยิงพิษระยะไกล	[누덕고치] 원거리, 매직 , 독속성, 1타 전방 원거리 독 포스 공격
SKILL_20150317_000199	[Saurman Axeman] โจมตีทั่วไป	[사우르맨 도끼병] 일반 공격.
SKILL_20150317_000200	[Saurman Axeman] โจมตีทั่วไป 2	[사우르맨 도끼병] 일반 공격2.
SKILL_20150317_000201	Heal	힐
SKILL_20150317_000202	Monster Heal	몬스터 힐
SKILL_20150317_000203	Vubbe Miner Attack	부베 광부 공격
SKILL_20150317_000204	[Feral Pokubu] โจมตีทั่วไป	[난폭해진 포쿠부] 일반 공격.
SKILL_20150317_000205	โจมตีทั่วไป Guard	경비병 일반 공격.
SKILL_20150317_000206	โจมตีทั่วไป Guard 2	경비병 일반 공격2.
SKILL_20150317_000207	โจมตีทั่วไป Guard 3	경비병 일반 공격3.
SKILL_20150317_000208	[Candle Spider] กาพภาพ, ตี, ธาตุมืด, โจมตีขาเดียว	[양초거미] 물리, 타격, 암속성, 1타 전방 다리 하나로 공격
SKILL_20150317_000209	[Candle Spider] กาพภาพ, ตี, ธาตุมืด, บอดี้สแลม	[양초거미] 물리, 타격, 암속성, 1타 전방 몸톰 박치기
SKILL_20150317_000210	[Candle Spider] กาพภาพ, ตี, ธาตุมืด, กระโดดเหยียบสองขา	[양초거미] 물리, 타격, 암속성, 1타 전방 점프하여 두다리로 내려치기
SKILL_20150317_000211	[Winged Frog] กายภาพ, ตี, ธาตุพิษ, โจมตี 1 ครั้ง	[날개 개구리] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000212	[Winged Frog] กายภาพ, ตี, ธาตุพิษ, โจมตีพิษ 1 ครั้ง	[날개 개구리] 물리, 타격, 독속성, 2회 독뿌리기 공격
SKILL_20150317_000213	[Winged Frog] กายภาพ, ตี, ธาตุมืด, โจมตีเอาหัวโขกให้กระเด็นถอยหลัง	[날개 개구리] 물리, 타격, 암속성, 1회 박치기 넉백 공격
SKILL_20150317_000214	[Black Leaf Bug] กาพภาพ, ตี, ธาตุมืด, บอดี้สแลม	[검은 잎방개] 물리, 타격, 암속성, 1타 전방 몸통박치기
SKILL_20150317_000215	[Black Leaf Bug] กาพภาพ, ตี, ธาตุมืด, กัดโจมตี	[검은 잎방개] 물리, 타격, 암속성, 1타 달라붙어서 물어뜯기
