QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161005_000028	{nl}They'll at least pretend to listen if I bring back the Flechette.{nl}I've come to this place as I am almost certain that her Flechette must be in Ghibulinas Forest.	{nl}อย่างน้อยพวกเขาน่าจะแกล้งฟังที่ฉันพูดบ้าง หากฉันนำ Flechette กลับมา{nl}เมื่อฉันได้มาสถานที่แห่งนี้แล้วฉันค่อนข้างจะแน่ใจว่า Flechette ของเธอต้องอยู่ใน Ghibulinas Forest เป็นแน่แท้
QUEST_LV_0400_20161005_000029	{nl}My apprentices and I have been trying to look for the Flechette but there's been no progress.	{nl}ลูกศิษย์และฉันได้พยายามที่จะค้นหา Flechette แต่ยังไม่มีความคืบหน้าใดๆ
QUEST_LV_0400_20161005_000030	I see you've gathered it all.{nl}Thanks.	ฉันเห็นว่าคุณได้ทำการรวบรวมมันทั้งหมดแล้ว{nl}ขอบคุณมาก
QUEST_LV_0400_20161005_000031	{nl}Go to the camp and ask my master if you're wondering why we had to do this.	{nl}จงไปที่ค่ายและสอบถามอาจารย์ของฉันหากคุณสงสัยว่าทำไมเราต้องทำสิ่งนี้
QUEST_LV_0400_20161005_000032	"{nl}Well, I'd better start looking at these unremarkable things to find something different."	{nl}ดี...ฉันควรที่จะเริ่มต้นสนใจสิ่งธรรมดาเหล่านี้เพื่อพบบางสิ่งบางอย่างที่แตกต่างออกไปสินะ
QUEST_LV_0400_20161005_000033	"Hmm... I thank you for your eagerness, but this place is much too dangerous with all of the demons roaming around. {nl}I would appreciate it if you would simply ask my apprentices how they are doing."	อืมม... ฉันต้องขอขอบคุณสำหรับความกระตือรือร้นของคุณ แต่สถานที่แห่งนี้อันตรายเกินไปจากพวกปีศาจที่อยู่รอบๆ {nl}ฉันจะขอบคุณอย่างยิ่งหากคุณถามลูกศิษย์ของฉันว่าพวกเขากำลังทำอะไรอยู่
QUEST_LV_0400_20161005_000034	"{nl}Woognis is at the Vilkas Nest, Jenonhas is at Kainen Crossing."	{nl}Woognis อยู่ที่ Vilkas Nest และ Jenonhas อยู่ที่ Kainen Crossing
QUEST_LV_0400_20161005_000035	"Whoa, you scared me! Who are you?"	โอ๊ะ...คุณกลัวฉัน! คุณคือใคร?
QUEST_LV_0400_20161005_000036	{nl}The current situation?{nl}I haven't even gone anywhere near the area since I'm too afraid.	{nl}ตอนนี้เป็นยังไงบ้าง?{nl}ฉันกลัว ฉันไม่กล้าเข้าไปใกล้แถวนั้นเลย
QUEST_LV_0400_20161005_000037	"{nl}That over there is the Vilkas nest, but how am I supposed to get in there.{nl}I don't know, maybe I'll be able to get there if I cover myself with Vilkas fur..."	{nl}ที่นั่นเป็นรังของ Vilkas แต่ฉันจะเข้าไปในนั้นได้อย่างไร{nl}ฉันไม่รู้...บางทีฉันอาจจะสามารถเข้าไปในนั้นได้ถ้าฉันคลุมตัวด้วยขนของ Vilkas...
QUEST_LV_0400_20161005_000038	We'll be put in danger if we go and fight Vilkas near their nest.{nl}There are a lot of Vilkas at Kyrba Lot as well.	พวกเราจะตกอยู่ในอันตรายหากพวกเราต่อสู้กับ Vilkas ใกล้ๆ รังของพวกมัน{nl}ที่ Kyrba Lot ก็มี Vilkas อยู่มากเหมือนกัน
QUEST_LV_0400_20161005_000039	{nl}Why don't we try gathering Vilkas fur over there.	{nl}ทำไมเราไม่รวบรวมขน Vilkas ที่นั่นหล่ะ
QUEST_LV_0400_20161005_000040	"There's a lot of Vilkas at Kyrba Lot, so it should be easy enough to get their fur there."	มี Vilkas มากมายที่ Kyrba Lot ดังนั้นมันน่าจะง่ายนะถ้าจะหาขนของพวกมันที่นั่น
QUEST_LV_0400_20161005_000041	I think we'll be able to fool them into thinking we're one of their friends with this amount of fur.	ฉันคิดว่าเราน่าจะหลอกล่อพวกมันให้คิดว่าเราเป็นเพื่อนของพวกมันได้ด้วยจำนวนขนเหล่านี้
QUEST_LV_0400_20161005_000042	I'm thinking of going to search their nest with this fur all over me.{nl}It's quite large so I don't know how long it will take but...	ฉันคิดว่าการที่จะไปค้นหารังของพวกมันด้วยจำนวนขนมากมายที่อยู่บนตัวฉัน{nl}มันค่อนข้างจะรุ่มร่วมมากซึ่งฉันไม่รู้ว่าต้องใช้เวลานานขนาดไหน แต่...
QUEST_LV_0400_20161005_000043	There's no reason for me to decline your offer of help.{nl}Let's go.	ไม่มีเหตุผลที่ฉันจะปฏิเสธข้อเสนอความช่วยเหลือของคุณ{nl}ไปกันเถอะ
QUEST_LV_0400_20161005_000044	There doesn't seem to be a Flechette where I checked.{nl}Did you find anything?	นั่นดูไม่เหมือน Flechette ที่ซึ่งฉันตรวจสอบอยู่{nl}คุณพบอะไรบ้างไหม?
QUEST_LV_0400_20161005_000045	{nl}Ah yes...{nl}Nothing...	{nl}อ่า ใช่...{nl}ไม่มีอะไร...
QUEST_LV_0400_20161005_000046	So my search has resulted in nothing.{nl}You said that you were gathering reports?	ดังนั้นการค้นหาของฉันไม่มีอะไรเลย{nl}คุณบอกว่าคุณกำลังรวบรวมรายงานอยู่ใช่ไหม?
QUEST_LV_0400_20161005_000047	{nl}There are two other apprentices.{nl}One is Aquilas and the other is Jenonhas.	{nl}สองคนนั้นคือลูกศิษย์ของฉัน{nl}คนนึงคือ Aquilas และอีกคนคือ Jenonhas
QUEST_LV_0400_20161005_000048	"{nl}Aquilas is on the road to Phamer Forest and Jenonhas is at Kainen Crossing.{nl}You said that you've already met Aquilas, so try looking for Jenonhas."	{nl}Aquilas อยู่บนถนนที่ Phamer Forest และ Jenonhas อยู่ที่ Kainen Crossing{nl}คุณบอกว่าคุณได้พบกับ Aquilas แล้วและพยายามมองหา Jenonhas
QUEST_LV_0400_20161005_000049	I'll return after wrapping things up here.	ฉันจะกลับมาหลังจากได้ทำการห่อสิ่งที่อยู่ที่นี่
QUEST_LV_0400_20161005_000050	Jenonhas	Jenonhas
QUEST_LV_0400_20161005_000051	Thank you so much.{nl}I wouldn't have made it if you hadn't come here.	ขอบคุณมาก{nl}ฉันคงไม่ได้ทำสิ่งนี้หากคุณไม่ได้อยู่ที่นี่ด้วย
QUEST_LV_0400_20161005_000052	"Yes, that is correct.{nl}I am looking for the Flechette."	ใช่...ถูกแล้ว{nl}ฉันกำลังค้นหา Flechette
QUEST_LV_0400_20161005_000053	"{nl}If it was something that could have been found so easily, people would have already taken it, don't you think?{nl}This is pointless."	{nl}ถ้ามันสามารถค้นพบได้อย่างง่ายดาย คนอื่นๆ คงจะได้ไปแล้ว คุณว่าไหม?{nl}นี่มันไร้จุดหมายชัดๆ...
QUEST_LV_0400_20161005_000054	{nl}There are even demons here.{nl}I can't understand my orders this time round.	{nl}ที่นี่มีแม้กระทั่งปีศาจ{nl}ฉันค่อยไม่เข้าใจคำสั่งในตอนนี้สักเท่าไหร่
QUEST_LV_0400_20161005_000055	{nl}I'm going to have to talk about this later.	{nl}ฉันจะคุยเรื่องนี้ในภายหลัง
QUEST_LV_0400_20161005_000056	Everyone is exhausted since they're searching for an arrow that seems to be non-existant.{nl}Especially where there are so many demons roaming around...	ทุกๆ คนเหนื่อยอ่อนตั้งแต่พวกเขาค้นหาลูกธนูซึ่งดูเหมือนไม่มีอยู่จริง{nl}โดยเฉพาะอย่างยิ่งที่ที่มีปีศาจมากมายในบริเวณรอบๆ
QUEST_LV_0400_20161005_000057	{nl}It's all because I am not skilled enough.	{nl}มันคือทั้งหมดแล้วเพราะฉันมีสกิลไม่เพียงพอ
QUEST_LV_0400_20161005_000058	The first Fletcher Master crafted the Flechette for Lydia Schaffen.{nl}Of course I thought about asking the Fletcher Master.	Fletcher Master คนแรกที่สร้าง Flechette สำหรับ Lydia Schaffen{nl}แน่นอนว่าฉันคิดที่จะถาม Fletcher Master
QUEST_LV_0400_20161005_000059	{nl}But the Fletcher Master and the other members of the Astral Tower... They won't talk to me because they think I am a traitor.{nl}That's why I am not even thinking about it.	{nl}แต่ Fletcher Master และสมาชิกคนอื่นๆของ Astral Tower... พวกเขาไม่พูดกับฉันเพราะพวกเขาคิดว่าฉันเป็นคนทรยศ{nl}นั่นเป็นเหตุผลที่ฉันไม่คิดที่จะทำมัน
QUEST_LV_0400_20161005_000060	Of course I would appreciate the help but...{nl}I'm sure that it won't make a difference.	แน่นอนว่าฉันซาบซึ้งสำหรับความช่วยเหลือแต่...{nl}ฉันแน่ใจว่ามันจะไม่แตกต่าง
QUEST_LV_0400_20161005_000061	{nl}Don't be too disappointed though.{nl}The Fletcher Master is at the Goddess' Ancient Garden.	{nl}อย่าผิดหวังจนเกินไป{nl}Fletcher Master อยู่ที่ Goddess' Ancient Garden
QUEST_LV_0400_20161005_000062	Fletcher Master	Fletcher Master
QUEST_LV_0400_20161005_000063	You said that Mechen asked you to find the Flechette?{nl}You still came to me knowing what kind of person he is correct?	คุณบอกว่า Mechen ขอให้ช่วยหา Flechette ใช่ไหม?{nl}คุณยังให้ฉันได้รู้ว่าเขาเป็นคนแบบไหน ถูกรึเปล่า?
QUEST_LV_0400_20161005_000064	"{nl}Of course I might think of helping him if he agrees to return the Flechette after finding it.{nl}However, he'll show his true colors as soon as we find the Flechette."	{nl}แน่นอนว่าฉันคิดจะช่วยเหลือเขาหากเขาตกลงที่จะนำ Flechette กลับหลังจากที่ค้นพบมันแล้ว{nl}อย่างไรก็ตาม เขาจะแสดงธาตุแท้อย่างแน่นอนหากเราพบ Flechette
QUEST_LV_0400_20161005_000065	"If you say that, I'll agree to help."	หากคุณพูดอย่างนั้น ตกลงฉันช่วยก็ได้
QUEST_LV_0400_20161005_000066	{nl}This is a recipe for detecting the Flechette.{nl}Take this to Mechen.	{nl}นี่เป็นคู่มือสำหรับตรวจสอบ Flechette{nl}จงนำมันไปให้กับ Mechen
QUEST_LV_0400_20161005_000067	The Goddess' Ancient Garden...{nl}It will be a long trip.	Goddess' Ancient Garden...{nl}มันน่าจะเป็นการเดินทางไกลนะ
QUEST_LV_0400_20161005_000068	He gave you a recipe that will allow us to craft equipment that will help us detect the Flechette?	เขามอบคู่มือที่จะใช้สำหรับสร้างอุปกรณ์ซึ่งสามารถช่วยเราตรวจสอบ Flechette หรือไม่?
QUEST_LV_0400_20161005_000069	{nl}How did he decide to help us?	{nl}เขาตัดสินใจอย่างไรในการช่วยเหลือพวกเรา?
QUEST_LV_0400_20161005_000070	{nl}Ah...	{nl}อ่า...
QUEST_LV_0400_20161005_000071	{nl}I see.{nl}He agreed to help us under the condition of having my life if I do not give the Flechette.	{nl}ฉันรู้{nl}เขาตกลงที่จะช่วยเหลือพวกเราภายใต้เงื่อนไขการมีชีวิตอยู่ของฉันหากฉันไม่ให้ Flechette
QUEST_LV_0400_20161005_000072	{nl}I don't think that will be necessary.{nl}I'll take a look at this recipe then...	{nl}ฉันไม่คิดว่ามันจะมีความจำเป็นนะ{nl}ฉันจะใช้เวลาดูคู่มือนี้…
QUEST_LV_0400_20161005_000073	"Mechen is the person who allowed the previous leader for the Astral Tower, his brother, to be taken down."	"Mechen เป็นบุคคลผู้ได้รับการยอมรับจากผู้นำก่อนหน้านี้สำหรับ Astral Tower, พี่ชายของเขาได้สละหน้าที่นั้น"
QUEST_LV_0400_20161005_000074	{nl}How can I trust such a person.	{nl}ฉันสามารถไว้วางใจบุคคลดังกล่าวได้อย่างไร
QUEST_LV_0400_20161005_000075	The Flechette is said to be crafted from the divine energy of the Goddess.{nl}It says that we have to get the energy of a powerful demon since it will react to their energy.	Flechette ถูกสร้างขึ้นจากพลังของเทพธิดา{nl}เราจะได้รับพลังปีศาจตั้งแต่มันตอบสนองกับพลังของพวกเขา
QUEST_LV_0400_20161005_000076	I'm worried that he might make us go and find capture a demon.	ฉันกังวลว่าเขาจะพาเราไปจับปีศาจ
QUEST_LV_0400_20161005_000077	You've collected a lot.{nl}Now what we need is...	คุณได้ทำการรวบรวมเป็นจำนวนมาก{nl}ตอนนี้สิ่งที่เราต้องการคือ...
QUEST_LV_0400_20161005_000078	The recipe says that we need Vilkas essence in order to control the demon's energy.	คู่มือแจ้งว่าเราต้องการ Vilkas Essence เพื่อใช้ควบคุมพลังปีศาจ
QUEST_LV_0400_20161005_000079	My apprentices have gone to different locations to gather Vilkas essence.{nl}Could you please go to Kyrba Lot?	ลูกศิษย์ของฉันไปยังสถานที่ที่แตกต่างเพื่อรวบรวม Vilkas Essence{nl}ได้โปรดช่วยไปที่ Kyrba Lot จะได้หรือไม่?
QUEST_LV_0400_20161005_000080	All you have to do is gather Vilkas essence from Kyrba Lot.	ทั้งหมดที่คุณต้องทำคือการรวบรวม Vilkas Essence จาก Kyrba Lot
QUEST_LV_0400_20161005_000081	We have gathered all of the materials needed to create the detector.{nl}I'll start crafting it then.	เราได้รวบรวมวัสดุที่จำเป็นทั้งหมดในการสร้างเครื่องตรวจจับ{nl}ฉันจะเริ่มสร้างมันแล้ว
QUEST_LV_0400_20161005_000082	I've finished crafting the detector.{nl}I'm going to give it to my apprentices to try and find the Flechette.	ฉันสร้างเครื่องตรวจจับเรียบร้อยแล้ว{nl}ฉันจะมอบมันแก่ลูกศิษย์ของฉันเพื่อใช้ในการค้นหา Flechette
QUEST_LV_0400_20161005_000083	{nl}I guess it will make it easier to find the Flechette.	{nl}ฉันคิดว่ามันจะช่วยให้ค้นหา Flechette ได้ง่ายขึ้น
QUEST_LV_0400_20161005_000084	"If you wish to participate in finding the Flechette, please start at Taylie Lot.{nl}The other places will be covered by my apprentices."	หากคุณปรารถนาที่จะมีส่วนร่วมในการค้นหา Flechette กรุณาเริ่มต้นที่ Taylie Lot{nl}ลูกศิษย์ของฉันจะทำการค้นหาที่สถานที่อื่นๆ เอง
QUEST_LV_0400_20161005_000085	{nl}Try using the detector at Taylie Lot at places you think the Flechette might be.{nl}It will react if the Flechette is nearby.	{nl}ลองใช้เครื่องตรวจจับที่ Taylie Lot และที่ที่คุณคิดว่าจะพบ Flechette{nl}มันจะตอบสนองหากพบในบริเวณใกล้เคียง
QUEST_LV_0400_20161005_000086	Go to Taylie Lot and look for the Flechette.	ไปที่ Taylie Lot และค้นหา Flechette
QUEST_LV_0400_20161005_000087	"Ah, have you found the Flechette?{nl}It feels a bit abrupt after all that fruitless time we spent searching for it..."	"อ่า, คุณพบ Flechette หรือไม่?{nl}รู้สึกแย่เล็กน้อยหลังจากที่เราใช้เวลาทั้งหมดในการค้นหามัน..."
QUEST_LV_0400_20161005_000088	"{nl}Of course, none of us are Revelators...{nl}Good job."	{nl}แน่นอนว่าพวกเราป็นผู้เผยความจริง...{nl}ทำได้ดีมาก
QUEST_LV_0400_20161005_000089	{nl}Now it's time to take the Flechette to the Fletcher Master.	{nl}ขณะนี้ถึงเวลาที่จะนำ Flechette ไปให้กับ Fletcher Master
QUEST_LV_0400_20161005_000090	Please be careful.{nl}I wish that this would help resolve the misunderstanding between us.	โปรดระมัดระวัง{nl}ฉันหวังว่าเรื่องนี้จะช่วยแก้ไขความเข้าใจผิดระหว่างเราได้
QUEST_LV_0400_20161005_000091	This... it is the Flechette that was created by my elders.{nl}I didn't think that Mechen would give it this easily.	นี่... มันคือ Flechette ที่ถูกสร้างขึ้นโดยเหล่าผู้อาวุโส{nl}ฉันไม่คิดว่า Mechen จะมอบมันให้อย่างง่ายดาย
QUEST_LV_0400_20161005_000092	{nl}Hmm...{nl}Take this.{nl}Tell him that this is a sort of reward for finding me the Flechette.	{nl}อืมม...{nl}เวลานี้{nl}บอกเขาว่านี่เป็นรางวัลสำหรับช่วยฉันหา Flechette
QUEST_LV_0400_20161005_000093	{nl}I don't know how much good it will do for his honor...{nl}But people will at least know how much he went through to find the Flechette.	{nl}ฉันไม่รู้ว่าต้องสรรเสริญเขามากเพียงไหนสำหรับเกียรติยศของเขา... {nl}แต่คนอื่นๆ จะรู้ว่าเขาต้องผ่านอะไรมากมายขนาดไหนในการค้นหา Flechette
QUEST_LV_0400_20161005_000094	"A promise is a promise, so I'll hand it over."	สัญญาคือสัญญาดังนั้นฉันจะยึดมั่นต่อไป
QUEST_LV_0400_20161005_000095	This... it's an Arrow of Proof crafted by the Fletcher Master...{nl}I hope people will listen to me a bit more if I have this.	นี่... เป็นลูกธนูที่สร้างขึ้นโดย Fletcher Master...{nl}ฉันหวังว่าคนอื่นๆ จะฟังฉันมากขึ้นหากฉันครอบครองมัน
QUEST_LV_0400_20161005_000096	This will help Mechen recover some of his honor.	สิ่งนี้จะช่วยให้ Mechen กู้คืนเกียรติยศของเขาได้บางส่วน
QUEST_LV_0400_20161005_000097	Hello there.	สวัสดี
QUEST_LV_0400_20161005_000098	{nl}We are apprentices of Maven.{nl}We are rewriting the misinformation that has been spread about the Ruklys incident on this Monument.	{nl}พวกเราเป็นลูกศิษย์ของ Maven{nl}พวกเรากำลังทำการเขียนข้อมูลบนอนุสาวรีย์ที่ผิดพลาดซึ่งได้รับจากเหตุการณ์ Ruklys ขึ้นมาใหม่
QUEST_LV_0400_20161005_000099	"{nl}These were almost destroyed because of the actions for King Kadumel.{nl}However, King Barynwell decided to cast magic on them to make them unreadable instead."	{nl}สิ่งเหล่านี้ถูกทำลายด้วยฝีมือของ King Kadumel เกือบทั้งหมด{nl}อย่างไรก็ตาม กษัตริย์ Barynwell  ตัดสินใจที่จะใช้เวทมนตร์เพื่อให้มันไม่สามารถอ่านมันได้ในที่สุด
QUEST_LV_0400_20161005_000100	{nl}We are preparing to undo the magic and make the corrections.{nl}The monsters are stopping us from doing anything though.	{nl}พวกเรากำลังเตรียมที่จะล้างเวทมนตร์และทำมันให้ถูกต้อง{nl}มอนสเตอร์พยายามที่จะหยุดพวกเราในการทำสิ่งนั้น
QUEST_LV_0400_20161005_000101	We will gladly accept any help you can offer us.	เรายินดีที่จะรับความช่วยเหลือใดๆ ก็ตามที่คุณสามารถให้เราได้
QUEST_LV_0400_20161005_000102	"{nl}First of all, we need to find the documents.{nl}These documents contain instructions on how to dispell transfiguration magic, but they've been scattered due to monster attacks."	{nl}เราต้องการที่จะหาเอกสารนี้เป็นสิ่งแรก{nl}เอกสารเหล่านี้มีคำแนะนำเกี่ยวกับการลบล้างเวทมนตร์ แต่มันกระจัดกระจายระหว่างที่มอนสเตอร์ทำการโจมตี
QUEST_LV_0400_20161005_000103	{nl}We were careful in making any further moves since we don't want to provoke any more monster attacks.	{nl}พวกเราระมัดระวังในการเคลื่อนไหวใดๆ ที่ตามที่อาจจะไปทำให้เกิดการกระตุ้นการโจมตีจากเหล่ามอนสเตอร์
QUEST_LV_0400_20161005_000104	{nl}Please try looking at Othorove Lot first.	{nl}โปรดลองทำการค้นหาที่ Othorove Lot เป็นที่แรก
QUEST_LV_0400_20161005_000105	We need those documents to dispell the magic and correct the information on this Monument.	พวกเราต้องการเอกสารเหล่านั้นเพื่อล้างเวทมนตร์และทำให้ข้อมูลบนอนุสาวรีย์นี้ถูกต้อง
QUEST_LV_0400_20161005_000106	I see that they've all been scattered like this.{nl}Thank you for gathering all of the pages.	ฉันรู้ว่าพวกมันกระจัดกระจายเช่นนี้{nl}ขอบคุณสำหรับการรวบรวมเอกสารทั้งหมดนี้
QUEST_LV_0400_20161005_000107	{nl}Now...	{nl}ตอนนี้..
QUEST_LV_0400_20161005_000108	We'll have to find an orb in order to dispell the magic.{nl}The orb will quickly be depleted so we also had a recharging orb.	พวกเราจะต้องหาลูกแก้วเพื่อใช้ล้างเวทมนตร์{nl}พลังลูกแก้วจะลดลงอย่างรวดเร็วดังนั้นเราต้องมีลูกแก้วเพิ่มพลัง
QUEST_LV_0400_20161005_000109	"The orb will absorb the energy from the recharging orb.{nl}Therefore, you should be able to find where the orb is if you carry this around with you."	ลูกแก้วจะดูดซับพลังจากลูกแก้วเพิ่มพลัง{nl}ดังนั้น คุณควรจะหาลูกแก้วนั้นให้พบหากคุณจะทำการพกพามันไปกับคุณด้วย
QUEST_LV_0400_20161005_000110	The recharging orb will emmit magic when activated.{nl}The magic will go towards the orb since it will try to absorb it and will glow when it does so.	ลูกแก้วเพิ่มพลังจะทำการปล่อยพลังเวทมนตร์เมื่อเริ่มทำงาน{nl}เวทมนตร์จะนำทางให้ลูกแก้ว ตั้งแต่มันได้พยายามดูดซับและเติบโตขึ้น
QUEST_LV_0400_20161005_000111	{nl}All you have to do is to find the orb.	{nl}สิ่งที่คุณต้องทำคือการหาลูกแก้วดังกล่าว
