ITEM_20150317_000001	Empty_helmet
ITEM_20150317_000115	Chapparition Sword
ITEM_20150317_000116	มีพลังในการทำลายเหล่าวิญญานและปิศาจ
ITEM_20150317_000117	Bendras Sword
ITEM_20150317_000118	ดาบแห่งเทพธิดาที่สามารถขจัดความชั่วร้ายได้มากมายในอดีต
ITEM_20150317_000119	Illizia
ITEM_20150317_000120	อาวุธที่คุกคามทั้งชีวิตของศัตรูและผู้ใช้ แต่ส่วนใหญ่ผู้ใช้มักไม่สนใจผลกระทบที่จะเกิดขึ้นในภายหลัง
ITEM_20150317_000121	ตารางในการตรวจจับ
ITEM_20150317_000122	Two-handed Sword [Slash]
ITEM_20150317_000123	Dunkel Bastard Sword
ITEM_20150317_000124	ช่างตีดาบและทหารมักเรียกมันว่า ดาบสองมือ
ITEM_20150317_000125	Flamberge
ITEM_20150317_000126	ถ้าคุณเชี่ยวชาญการใช้ดาบสองมือแล้ว อาวุธชิ้นนี้จะมีพลังการโจมตีเป็นสูงมาก
ITEM_20150317_000127	Nodachi
ITEM_20150317_000128	ดาบเล่มนี้มีพลังในการตัดเฉือนศัตรูสูงมาก
ITEM_20150317_000129	Claymore
ITEM_20150317_000130	ดาบแห่งราชอาณาจักรที่มีพลังโจมตีสูง
ITEM_20150317_000131	Colossus
ITEM_20150317_000132	ดาบที่รูปทรงแปลกแต่มีพลังโจมตีสูง แต่ต้องอาศัยเทคนิคในการใช้งานเล็กน้อย
ITEM_20150317_000133	Caliburn
ITEM_20150317_000134	อาวุธชิ้นนี้ทหารชั้นสูงนิยมใช้
ITEM_20150317_000135	Quaddara
ITEM_20150317_000136	ดาบที่มีสองคมและนิยมในหมู่นักดาบใช้สำหรับการฝึกฝน
ITEM_20150317_000137	Light Claymore
ITEM_20150317_000138	โครงสร้างของดาบเหมาะแก่การใช้แทง
ITEM_20150317_000139	Crude Colossus
ITEM_20150317_000140	Ilwoon
ITEM_20150317_000141	เป็นดาบชนิดแรกๆที่นักดาบเลือกใช้
ITEM_20150317_000142	Practice Bastard Sword
ITEM_20150317_000143	Bastard Sword
ITEM_20150317_000144	Heavy Flamberge
ITEM_20150317_000145	Heavy Nodachi
ITEM_20150317_000146	Heavy Claymore
ITEM_20150317_000147	Dunkel Nodachi
ITEM_20150317_000148	Dunkel Quaddara
ITEM_20150317_000149	Dunkel Flamberge
ITEM_20150317_000150	Dunkel Claymore
ITEM_20150317_000151	Greatsword
ITEM_20150317_000152	Katzbalger
ITEM_20150317_000153	Dress Sword
ITEM_20150317_000154	Zweihander
ITEM_20150317_000155	Executioner's Sword
ITEM_20150317_000156	Lumai Two-handed Sword
ITEM_20150317_000157	Overknife
ITEM_20150317_000158	Potentia
ITEM_20150317_000159	เป็นอีกทางเลือกหนึ่งสำหรับผู้ที่ไม่ชื่นชอบดาบเฟรมเบิร์ก
ITEM_20150317_000160	Temsus Flamberge
ITEM_20150317_000161	เป็นดาบที่ดีเล่มหนึ่ง แต่ศักยภาพของมันขึ้นอยู่กับตัวของผู้ใช้
ITEM_20150317_000162	Didel Colossus
ITEM_20150317_000163	ดาบเล่มนี้เหมาะกับผู้ที่ต้องการดาบที่มีน้ำหนักกับพลังโจมตีสูงๆ
ITEM_20150317_000164	Collecture
ITEM_20150317_000165	อาวุธชิ้นนี้นิยมใช้กันมากในการต่อสู้ ด้วยลวดลายที่สวยงามมันจึงเป็นที่ชื่นชอบของนักสะสมด้วย
ITEM_20150317_000166	Hogma Greatsword
ITEM_20150317_000167	ดาบเล่มนี้ถูกสร้างขึ้นมาด้วยความไม่ตั้งใจของผู้สร้าง ทำให้มีข้อสงสัยเกี่ยวกับการใช้งานมันมากมาย
ITEM_20150317_000168	Cheminis Bastard Sword
ITEM_20150317_000169	ดาบเล่มนี้สร้างโดยครอบครัว Winterspoon และได้เปิดเผยสูตรในการผสมธาตุในการตีดาบเล่มนี้ออกมาด้วย
ITEM_20150317_000170	Primaluce
ITEM_20150317_000171	นักดาบผู้แสวงหาพลังมักเลือกใช้ดาบเวทเล่มนี้ เป็นดาบเล่มแรกประจำตัวของพวกเขา
ITEM_20150317_000172	Kindzal
ITEM_20150317_000173	หลายคนมักชอบสร้างอาวุธชิ้นนี้ขึ้นมาใช้งานด้วยตนเอง
ITEM_20150317_000174	Imperni Two-handed Sword
ITEM_20150317_000175	ถ้าคุณได้อาวุธชิ้นนี้มาจากตลาดมืด นั้นหมายถึงการการันตีคุณภาพการใช้งานที่ดีเยี่ยม
ITEM_20150317_000176	Prieblanda
ITEM_20150317_000177	ดาบเล่มนี้ถูกตีขึ้นมาเหมือนกับดาบ พริมาลุกค์
ITEM_20150317_000178	Lapis Katzbalger
ITEM_20150317_000179	ดาบเล่มนี้ได้ถูกพัฒนามาไม่ต่ำกว่าหนึ่งร้อยปีและไม่มีส่วนผสมที่เกี่ยวข้องกับรูกลิส
ITEM_20150317_000180	Smith Two-handed Sword
ITEM_20150317_000181	คนจำนวนนึงกังวลเกี่ยวกับความไม่เสถียรของดาบพลังเวทมนตร์เล่มนี้
ITEM_20150317_000182	Klavis Two-handed Sword
ITEM_20150317_000183	ดาบเล่มนี้มีขนาดกระชับมือของผู้ใช้มาก ทำให้เกิดความมั่นใจเวลาใช้
ITEM_20150317_000184	Thresh Two-handed Sword
ITEM_20150317_000185	Sestas Two-handed Sword
ITEM_20150317_000186	Dratt Two-handed Sword
ITEM_20150317_000187	Aston Two-handed Sword
ITEM_20150317_000188	Devi Tow-Handed Sword
ITEM_20150317_000189	Prima Two-handed Sword
ITEM_20150317_000190	Flamini
ITEM_20150317_000191	เป็นดาบที่มีคุณภาพดี เหมาะแก่การใช้จัดการกับเหล่าปิศาจ
ITEM_20150317_000192	Wizard Slayer
ITEM_20150317_000193	บ่อยครั้งที่นักเวทมือใหม่ดูเหมือนไม่มีพลังแต่แท้จริงแล้วเราอาจจะมองไม่เห็นพลังที่ซ่อนอยู่
ITEM_20150317_000194	Two-handed Sword [Strike]
ITEM_20150317_000195	เหมือนกับการปามีดในที่มืดจู่โจมเข้าสู่เป้าหมายแบบไม่ทันตั้งตัว
ITEM_20150317_000196	Luciduce
ITEM_20150317_000197	แม้บางคนจะทิ้งอาวุธชิ้นนี้เพราะมันเหมือนขวานตัดไม้ แต่มีหลายคนยอมรับว่า จริงๆ มันเป็นอาวุธที่ใช้ได้ดีเลยทีเดียว
ITEM_20150317_000198	Hell and Heaven
ITEM_20150317_000199	มีวลีที่ว่า การโจมตีคือการป้องกันที่ดีที่สุด สามารถพิสูจน์ได้ด้วยการใช้อาวุธชิ้นนี้
ITEM_20150317_000200	Deathweaver Tooth
ITEM_20150317_000201	Chapparition Two-handed Sword
ITEM_20150317_000202	Chapparition Two-handed Sword
ITEM_20150317_000203	พลังอันยิ่งใหญ่บางครั้งก็มาจากบางสิ่งที่ไม่มีตัวตน
ITEM_20150317_000204	Nulis
ITEM_20150317_000205	อาวุธที่มีพลังอันยิ่งใหญ่ของสิ่งที่ไม่ได้อยู่ในอาณาจักรแห่งความมืดและแสงสว่าง
ITEM_20150317_000206	Gravity
ITEM_20150317_000207	พลังแห่งแรงดึงดูดที่ไม่มีสิ่งใดหลีกหนีมันพ้น และไม่มีใครสามารถควบคุมมันได้
ITEM_20150317_000208	Crude Short Rod
ITEM_20150317_000209	Rod [Strike]
ITEM_20150317_000210	คทาที่นักเรียนเวทมนตร์สามารถใช้ได้
ITEM_20150317_000211	Short Rod
ITEM_20150317_000212	นักเรียนเวทมนตร์ที่ได้เลื่อนขั้นมักจะใช้อาวุธชิ้นนี้
ITEM_20150317_000213	Low Long Rod
ITEM_20150317_000214	คทาที่ปรับแต่งโดยนักเวทมนตร์มีการเพิ่มฟังชั่น ที่ปกติไม่ปรากฏให้เห็นลงไปด้วย
ITEM_20150317_000215	Low Cane Rover
ITEM_20150317_000216	มีการแกะสลักและลงอักขระโดยนักเวทมนตร์ระดับสูงที่มีพลังเวทแฝงอยู่
ITEM_20150317_000217	Cane
ITEM_20150317_000218	คุณสามารถตกแต่งคทาได้ ถ้าคุณมีวัตถุดิบ
ITEM_20150317_000219	Crook
ITEM_20150317_000220	ในตำนานกล่าวว่ามีนักเวทที่ชั่วร้ายเป็นคนใช้สิ่งนี้เป็นคนแรก
ITEM_20150317_000221	Pewter Rod
ITEM_20150317_000222	เป็นคทาที่นิยมชมชอบในหมู่นักเวท
ITEM_20150317_000223	Owl Rod
ITEM_20150317_000224	เป็นคทาที่ถูกตกแต่งโดยกลุ่มนักเวทที่มีประสบการณ์
ITEM_20150317_000225	Rune Rod
ITEM_20150317_000226	เป็นคทาที่มีพลังขยายแผ่ของเวทมนตร์
ITEM_20150317_000227	Crystal Rod
ITEM_20150317_000228	มีการตกแต่งด้วยอัญมณีในการสร้างคทานี้ขึ้นมา
ITEM_20150317_000229	Crude Pewter Rod
ITEM_20150317_000230	Crude Owl Rod
ITEM_20150317_000231	Soldier's Short Rod
ITEM_20150317_000232	คทานี้ได้มาจากนักเวทที่เคยเข้าร่วมกองทัพ
ITEM_20150317_000233	Chieftain's Long Rod
ITEM_20150317_000234	เป็นคทาที่มีรูปทรงสไตล์ย้อนยุคร่วมสมัยและด้ามจับออกแบบมาอย่างลงตัว
ITEM_20150317_000235	Curde Cane Rover
ITEM_20150317_000236	Battle Rod
ITEM_20150317_000237	คทานี้นอกจากจะร่ายมนต์ได้แล้วยังสามารถใช้โจมตีทางกายภาพได้อีกด้วย
ITEM_20150317_000238	Heavy Short Rod
ITEM_20150317_000239	Long Rod
ITEM_20150317_000240	Heavy Long Rod
ITEM_20150317_000241	Cane Rover
ITEM_20150317_000242	Heavy Cane
ITEM_20150317_000243	Heavy Crook
ITEM_20150317_000244	Heavy Pewter Rod
ITEM_20150317_000245	Dunkel Crook
ITEM_20150317_000246	Dunkel Crystal Rod
ITEM_20150317_000247	Dunkel Long Rod
ITEM_20150317_000248	Dunkel Cane Rover
ITEM_20150317_000249	Dunkel Cane
ITEM_20150317_000250	Dunkel Pewter Rod
ITEM_20150317_000251	Snake Rod
ITEM_20150317_000252	Alter Rod
ITEM_20150317_000253	Nald Rod
ITEM_20150317_000254	Elder Rod
ITEM_20150317_000255	Meteor Rod
ITEM_20150317_000256	Ring Rod
ITEM_20150317_000257	Servant Rod
ITEM_20150317_000258	Panto Rod
ITEM_20150317_000259	นักเวทได้ค้นพบความจริงจากมอนสเตอร์แห่ง เกรทแพนท์คาแทคลีม ว่าในการปรับใช้เวทขึ้นอยู่กับสถานการณ์ที่แตกต่างกัน
ITEM_20150317_000260	Ice Rod
ITEM_20150317_000261	มีข่าวลือเกี่ยวกับการสร้างคทานี้ ว่าหากขายมันเงินที่ได้ส่วนนึงจะไปสู่ที่หัวหน้า Cryomancer
ITEM_20150317_000262	Fire Rod
ITEM_20150317_000263	มีแค่เฉพาะหัวหน้า Pyromancer เท่านั้นที่รู้วิธีการสร้างคทาอันนี้
ITEM_20150317_000264	Vasia Rod
ITEM_20150317_000265	เหล่านักบวชต่างคัดค้านการสร้างคาทาอันนี้ เนื่องจากต้องใช้วิญญาณเป็นเครื่องสังเวยในการสร้างมันขึ้นมา แต่พวกนักเวทก็เมินเฉยต่อการคัดค้านนั้น
ITEM_20150317_000266	Magic Rod
ITEM_20150317_000267	เป็นคทาที่เหมาะกับนักเวทมือใหม่
ITEM_20150317_000268	Grynas Rod
ITEM_20150317_000269	คทาที่เพิ่มพลังแห่งปิศาจและที่สำคัญราคาค่อนข้างแพงเสียด้วย
ITEM_20150317_000270	Cheminis Rod
ITEM_20150317_000271	ถึงแม้คทานี้จะมีความคล้ายกลับอาวุธชิ้นอื่นๆของครอบครัวWinterspoonแต่แท้จริงแล้วไม่เกี่ยวข้องกับครอบครัวนั้นเลย
ITEM_20150317_000272	Arch Rod
ITEM_20150317_000273	เป็นอาวุธระดับสูงของเหล่านักเวท แต่หากมีการเรียนรู้เวทระดับสูงไปกว่านี้ อาวุธชิ้นนี้ก็จะถูกแทนที่ด้วยอาวุธชิ้นอื่นเช่นกัน
ITEM_20150317_000274	Imperni Rod
ITEM_20150317_000275	เป็นคทาที่ได้รับความนิยมจากเหล่านักเวท
ITEM_20150317_000276	Aras' Long Rod
ITEM_20150317_000277	นักเวทมักจะได้รับคทานี้เป็นของขวัญบ่อยๆเพราะราคาไม่แพง
ITEM_20150317_000278	Smith Rod
ITEM_20150317_000279	เป็นอาวุธที่ค่อนข้างแปลก และแน่นอนว่าไม่คำนึงถึงว่าใครจะเป็นผู้ใช้มัน
ITEM_20150317_000280	Klavis Rod
ITEM_20150317_000281	คุณอาจจะเป็นนักเวทคนแรกในประวัติศาสต์ที่ใช้อาวุธชิ้นนี้
ITEM_20150317_000282	Dio Rod
ITEM_20150317_000283	Thresh Rod
ITEM_20150317_000284	Sestas Rod
ITEM_20150317_000285	Dratt Rod
ITEM_20150317_000286	Aston Rod
ITEM_20150317_000287	Devi Rod
ITEM_20150317_000288	Prima Rod
ITEM_20150317_000289	Temere
ITEM_20150317_000290	เป็นคทาที่มีชื่อเล่นว่าไม้เท้าของเพเที่ยน ในตำนานกล่าวว่าอาเกล่าเป็นนักเวทที่ดีที่สุดประวัติศาสต์เพราะคทานี้ได้ช่วยสอนนักเวทหลายๆคน
ITEM_20150317_000291	Ignition
ITEM_20150317_000292	แม้ว่า Pyromancer จะค้นคว้าหนทางแก้ไขข้อเสียของคทาอันนี้เท่าไร ก็ยิ่งห่างไกลความสำเร็จออกไปเรื่อยๆ
ITEM_20150317_000293	Secretum
ITEM_20150317_000294	เป็นอาวุธที่สร้างขึ้นมาสำหรับนักเวทโดยเแพาะ ดังนั้นนักเวทมักมองข้ามข้อบกพร่องอื่นๆของอาวุธชิ้นนี้ไป
ITEM_20150317_000295	Deathweaver Rod
ITEM_20150317_000296	เป็นคทาที่เกี่ยวข้องกับพลังของเดธวิเวอร์
ITEM_20150317_000297	Chapparition Rod
ITEM_20150317_000298	Zaima
ITEM_20150317_000299	มีข่าวลือว่าอาวุธชิ้นนี้มีราคาสูง เพราะว่าหัวหน้า Cryomancer ปั่นราคา
ITEM_20150317_000300	Epos
ITEM_20150317_000301	คทาอันนี้ถูกสร้างขึ้นมาเป็นเวลานาน เรียกได้ว่าในยุคนั้นมันคือสุดยอดอาวุธเวทมนตร์ แต่สำหรับปัจุบันมันอาจจะดูธรรมดาๆ ไปหน่อย
ITEM_20150317_000302	Twinkle Rod
ITEM_20150317_000303	A twinkling star is always visible
ITEM_20150317_000304	Empty_weapon_THBow
ITEM_20150317_000305	Crude Light Bow
ITEM_20150317_000306	Bow [Pierce]
ITEM_20150317_000307	เป็นอาวุธที่ใช้งานได้ง่าย และสามารถสร้างขึ้นมาได้ด้วยตนเอง
ITEM_20150317_000308	Light Bow
ITEM_20150317_000309	เป็นอาวุธที่ถูกสร้างด้วยฝีมือของคนจากราชอาณาจักร
ITEM_20150317_000310	Low Short Bow
ITEM_20150317_000311	เป็นธนูที่เหมาะกับนักธนูมือใหม่ แต่นักธนูที่เก่งๆหลายคนก็ยังชอบที่จะให้มันเป็นอาวุธคู่กายอยู่
ITEM_20150317_000312	Low Long Bow
ITEM_20150317_000313	หากเกิดสถานการณ์ตัดสินความเป็นความตาย ในระยะการยิงหวังผลธนูคันนี้เป็นตัวเลือกที่ดีทีเดียว
ITEM_20150317_000314	Composite Bow
ITEM_20150317_000315	ธนูคันนี้สร้างจากวัตถุดิบชั้นดี ทำให้คันธนูมีความยืดหยุ่นสูง
ITEM_20150317_000316	Self Bow
ITEM_20150317_000317	อาวุธชิ้นนี้เป็นสัญลักษณ์แห่งความแข็งแกร่ง แต่พวกนักธนูเหมือนจะไม่ยอมรับในสิ่งนี้
ITEM_20150317_000318	Rokas Bow
ITEM_20150317_000319	ชื่อของธนูคันนี้สันนิฐานว่ามีที่มาจากชื่อของผู้ที่สร้างมันขึ้นมา
ITEM_20150317_000320	Gorithos
ITEM_20150317_000321	เป็นธนูที่สมบรูณ์แบบของทหารม้า
ITEM_20150317_000322	Gulail
ITEM_20150317_000323	หลังจากมีการจดบันทึกการใช้เวทมนตร์ในการสร้างธนูคันนี้ได้เป็นครั้งแรก ไม่นานนักก็พบว่ามันมีขายอยู่ในท้องตลาดแล้ว
ITEM_20150317_000324	Kaman
ITEM_20150317_000325	ธนูคันนี้ถูกปรับแต่งให้มีพลังทำลายสูงขึ้น โดยเสริมการใช้แรงจากกล้ามเนื้อแขนของนักธนูในการยิง
ITEM_20150317_000326	Crude Rokas Bow
ITEM_20150317_000327	Crude Gorithos
ITEM_20150317_000328	Soldier's Light Bow
ITEM_20150317_000329	ธนูคันนี้ถูกสร้างขึ้นมาจำนวนไม่มากนัก เพราะมีเพียงทหารบางส่วนเท่านั้นที่ต้องการใช้มัน
ITEM_20150317_000330	Mayor's Short Bow
ITEM_20150317_000331	เรียกได้ว่าเป็นอาวุธที่ใช้งานได้ดีชิ้นหนึ่ง ถึงแม้มันจะถูกสร้างขึ้นมานานมากแล้วก็ตาม
ITEM_20150317_000332	Crude Long Bow
ITEM_20150317_000333	Gendawa
ITEM_20150317_000334	นับว่าเป็นธนูที่ดีที่สุดของช่างทำธนู เพราะมันไม่ได้ใช้เวทมนตร์ในการสร้างเลย
ITEM_20150317_000335	Heavy Light Bow
ITEM_20150317_000336	Short Bow
ITEM_20150317_000337	Heavy Short Bow
ITEM_20150317_000338	Long Bow
ITEM_20150317_000339	Heavy Composite Bow
ITEM_20150317_000340	Heavy Self Bow
ITEM_20150317_000341	Heavy Rokas Bow
ITEM_20150317_000342	Dunkel Self Bow
ITEM_20150317_000343	Dunkel Kaman
ITEM_20150317_000344	Dunkel Short Bow
ITEM_20150317_000345	Dunkel Long Bow
ITEM_20150317_000346	Dunkel Composite Bow
ITEM_20150317_000347	Dunkel Rokas Bow
ITEM_20150317_000348	Recurve Bow
ITEM_20150317_000349	Siege Bow
ITEM_20150317_000350	Sniper Bow
ITEM_20150317_000351	Skull Bow
ITEM_20150317_000352	Wooden Compound Bow
ITEM_20150317_000353	Tag Bow
ITEM_20150317_000354	Rogue Bow
ITEM_20150317_000355	Seeker
ITEM_20150317_000356	เป็นอาวุธที่เหล่าฮันเตอร์นิยมใช้ และใช้กันอย่างแพร่หลายในเกรทแพนท์คาแทคลีม
ITEM_20150317_000357	Iron Bow
ITEM_20150317_000358	เป็นธนูที่ดีและสามารถสร้างความเสียหายได้อย่างคาดไม่ถึง
ITEM_20150317_000359	Hawk Bow
ITEM_20150317_000360	เป็นอาวุธที่ทำมาจากกระดูก บางครั้งก็เกิดขึ้นได้เองหากแร่ทองคำทำปฏิกิริยากับพลังงานบางอย่าง
ITEM_20150317_000361	Cheminis Bow
ITEM_20150317_000362	เป็นอาวุธที่เล่าขานกันว่าจะช่วยเพิ่มประสิทธิภาพในการโจมตี
ITEM_20150317_000363	Hunting Bow
ITEM_20150317_000364	เป็นอาวุธที่สร้างขึ้นจากการเล่นแร่แปรธาตุ
ITEM_20150317_000365	Maker Bow
ITEM_20150317_000366	ในอดีตคนที่ครอบครองอาวุธชิ้นนี้ต้องมีเงินมากพอสมควร แต่อย่างไรก็ดี ณ ปัจจุบันทุกคนสามารถหาซื้อมันได้ง่ายๆแล้ว
ITEM_20150317_000367	Savage Bow
ITEM_20150317_000368	ธนูคันนี้มีหลายคนต้องการมันมาก เพราะมันเป็นธนูที่มีคุณภาพดีคันหนึ่งเลยทีเดียว
ITEM_20150317_000369	Snake Bow
ITEM_20150317_000370	ธนูคันนี้มีความสามารถพิเศษที่น่าสนใจ หากผู้ใช้มีแรงในการยิงไม่มากพอ คันธนูจะชดเชยพลังในส่วนนั้นให้
ITEM_20150317_000371	Imperni Bow
ITEM_20150317_000372	ความสามารถเหมือนชื่อของมันเองที่เมื่อโจมตีมีโอกาสทำให้เป้าหมายติดพิษได้
ITEM_20150317_000373	Lethena Bow
ITEM_20150317_000374	คุณจะได้สัมผัสกับการไล่ล่ามอนสเตอร์ที่มีขนาดใหญ่ เพราะธนูคันนี้เหมาะที่จะใช้กับพวกมันมาก
ITEM_20150317_000375	Strong Bow
