QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150317_000021	"Savior, if you can help me regain my form, we can stop the demons' sinister plans.{nl}You must recover the revelations that I have hidden throughout every axis of time."	ผู้กอบกู้เอ๋ย หากท่านสามารถช่วยให้ข้าได้ร่างที่แท้จริงของข้ากลับคืนมา เราจะสามารถร่วมมือกันหยุดยั้งแผนอันชั่วร้ายของพวกปีศาจ{nl}ท่านต้องตามหาชิ้นส่วนแห่งคำทำนายที่ข้าได้ส่งพวกมันให้กระจัดกระจายออกไปและซ่อนเอาไว้
QUEST_20150317_000022	"This divine task may be a heavy burden, but it is something you must bear. {nl}Perhaps in the muddy midst of your trials and tribulations, something may come about."	ภารกิจอันศักดิ์สิทธิ์นี้ช่างหนักหนานัก ข้ารู้ แต่นี่เป็นสิ่งที่ท่านมิอาจหลีกเลี่ยงได้{nl}ไม่แน่ว่า ในช่วงเวลาที่ท่านกำลังต้องฝ่าฟันความยากลำบาก อาจจะมีบางสิ่งเกิดขึ้นก็ได้
QUEST_20150317_000023	"Nevertheless, only we can save this world."	แต่ไม่ว่าจะอย่างไร มีเพียงพวกเราเท่านั้นที่จะสามารถช่วยเหลือโลกนี้ได้
QUEST_20150317_000024	I have passed the next revelation to the first Paladin. {nl}He will be waiting for you at the highest flower garden.	ข้าได้ส่งมอบชิ้นส่วนแห่งคำทำนายชิ้นต่อไปให้แก่ Paladin คนแรกแล้ว{nl}เขาจะรอท่านอยู่ที่สวนดอกไม้ที่อยู่สูงที่สุด
QUEST_20150317_000025	"The dark aura is indeed unpleasant... {nl}But if this message is truly from the Goddess Laima, then I am simply in awe."	รัศมีแห่งความมืดนี้ช่างให้ความรู้สึกหดหู่ยิ่งนัก…{nl}แต่หากว่าสิ่งนี้เป็นข้อความจากองค์เทพธิดา Laima จริงๆ แล้วล่ะก็ ข้าคงต้องบอกว่ามันเป็นสิ่งที่น่าอัศจรรย์ยิ่ง
QUEST_20150317_000026	"Well, you should hurry and go find Sir Uska. {nl}He will tell you where to go next. {nl}May the goddess bless your fate..."	เอาล่ะ ตอนนี้เจ้าควรรีบไปพบ Sir Uska ได้แล้ว{nl}เขาจะบอกเจ้าเองว่าเจ้าต้องไปที่ใดต่อ{nl}ขอให้องค์เทพธิดาคุ้มครองเจ้า…
QUEST_20150317_000027	Please select the preferred Smart Gen.	กรุณาเลือก Smart Gen ที่ท่านต้องการ
QUEST_20150317_000028	William	William
QUEST_20150317_000029	The fee's 100 silver. {nl}It's cheaper than cutting through monster central.	ค่าจ้างคือ 100 silver{nl}ถือว่าเป็นราคาที่ถูกมากเลยนะถ้าเทียบกับที่เจ้าจะต้องเดินทางฝ่าฝูงสัตว์ประหลาดไปน่ะ
QUEST_20150317_000030	Cyneburg	Cyneburg
QUEST_20150317_000031	"That'll be 100 silver coins. {nl}That'll cover operations, labor, and other expenses."	เยี่ยม! เงินครบตามจำนวน{nl}นี่จะเป็นค่าแรงงานและค่าใช้จ่ายอื่นๆ สำหรับดำเนินการ
QUEST_20150317_000032	"Hey, wait a minute. {nl}You know you need more than that..."	เฮ้ เดี๋ยวก่อนเช่{nl}ท่านก็รู้นี่นาว่าเงินจำนวนเท่านี้มันยังไม่พอ
QUEST_20150317_000033	"That's no good! {nl}I can't work for nothing, even for a Revelator."	ข้าทำแบบนั้นไม่ได้หรอก!{nl}ข้าไม่สามารถทำงานให้ใครโดยที่ไม่ได้ค่าตอบแทนหรอกนะ แม้แต่ท่านที่เป็น ผู้หยั่งรู้ก็ไม่มีข้อยกเว้น
QUEST_20150317_000034	Wandering Merchant	Wandering Merchant
QUEST_20150317_000035	"Like a dandelion's seeds, I am merely one who follows the wind. {nl}Since we've met in such a curious way, perhaps you could spare a moment to view my curiosities?"	ข้าเป็นเพียงผู้ที่เดินทางไปตามสายลม เปรียบดั่งเมล็ดของดอก Dandelion{nl}ในเมื่อบางสิ่งทำให้เราได้มาพบกันอย่างน่าประหลาดเช่นนี้แล้ว บางทีท่านอาจจะอยากชมความประหลาดที่ข้าอยากนำเสนอดูบ้างกระมัง?
QUEST_20150317_000036	Kristina	Kristina
QUEST_20150317_000037	"Welcome! {nl}You're looking for a travel companion, right? {nl}You won't find a better place for partners than here!"	ยินดีต้อนรับจ้า!{nl}กำลังมองหาเพื่อนร่วมการเดินทางอยู่ใช่มั้ย?{nl}ถ้าอย่างนั้นท่านก็มาถูกที่แล้วล่ะ ท่านจะไม่ได้พบกับที่ใดที่สามารถหาคู่หูได้ดีเท่าที่นี่อีกแล้ว!
QUEST_20150317_000038	"You can make your companions watch you fight or train special attributes. {nl}Earn enough affection, and you can even buy some cool equipment!"	ท่านสามารถสั่งให้คู่หูของเจ้าดูเจ้าสู้เฉยๆ หรือจะสอนความสามารถพิเศษให้มันก็ยังได้{nl}และถ้าสามารถทำให้มันรักท่านได้ในระดับหนึ่ง ท่านจะสามารถซื้ออุปกรณ์สวมใส่เจ๋งๆ ให้มันได้ด้วยนะ!{nl}
QUEST_20150317_000039	Raising your companion's affection will increase riding stamina and evasion! {nl}So what do you think? Is that enough to make you consider one?	และการเติบโตของพวกมันยังช่วยทำให้ได้รับค่าความอึดและการหลบหลีกที่มากขึ้นเมื่อท่านขึ้นขี่มัน!{nl}ฟังแล้วคิดยังไงบ้างล่ะ? อยากจะรับพวกมันไปเลี้ยงไว้สักตัวมั้ย?
QUEST_20150317_000040	The box requires a matching key.	กล่องใบนี้ต้องใช้กุญแจที่เหมาะสมเพื่อเปิด
QUEST_20150317_000041	Select Quest	เลือกเควส
QUEST_20150317_000042	Modify Quest Status	เปลี่ยนแปลงสถานะของเควส
QUEST_20150317_000043	Force start?	ต้องการเริ่มทันที?
QUEST_20150317_000044	Items to be deleted	ไอเทมที่จะถูกลบ
QUEST_20150317_000045	Select GenType	เลือก GenType
QUEST_20150317_000046	Select Coordinates	เลือกพิกัด
QUEST_20150317_000047	Knight Titas	Knight Titas
QUEST_20150317_000048	"If so, go see Knight Commander Uska in Klaipeda. {nl}But first, I have an important errand I would like to run by you, so follow me."	ถ้าอย่างนั้น ท่านจงไปพบ Knight Commander Uska ในเมือง Klaipeda เถอะ{nl}แต่ก่อนอื่น ข้ามีเรื่องสำคัญต้องพูดกับท่านก่อน ตามข้ามา
QUEST_20150317_000049	It would be nice if I could find a moment to relax...	มันคงจะดีหากว่าจะมีช่วงเวลาให้ข้าได้ผ่อนคลายสักหน่อย…
QUEST_20150317_000050	Sparnas... {nl}is not someone to take lightly...	Sparnas…{nl}เป็นศัตรูที่ไม่ควรประมาท…
QUEST_20150317_000051	Soldier Moody	Soldier Moody
QUEST_20150317_000052	Let's deal with this monster before talking.	เรารีบจัดการสัตว์ประหลาดพวกนี้กันก่อนเถอะ แล้วค่อยคุยกัน
QUEST_20150317_000053	Joint Investigation Team - Scott	Joint Investigation Team - Scott
QUEST_20150317_000054	I long for a time when our team is no longer needed... {nl}What a peaceful age that would be...	ข้าน่ะ ปรารถนาถึงช่วงเวลาที่กลุ่มของข้าจะไม่มีความจำเป็นอีกต่อไปมานานมากแล้ว…{nl}มันคงเป็นยุคแสนสงบสุข…
QUEST_20150317_000055	I don't know where to start. {nl}Have you heard anything?	ข้าไม่รู้ว่าจะเริ่มจากตรงไหนดี{nl}ท่านรู้อะไรมาบ้างล่ะ?
QUEST_20150317_000056	"By royal orders, we've come to this forest to investigate some strange events. {nl}Witnesses have reported something with a big face and bony fingers. {nl}What in the world could that be?"	โดยนักบวชราชโองการ พวกข้ามาที่ป่านี้เพื่อตรวจสอบเกี่ยวกับเหตุการณ์ประหลาด{nl}มีผู้เห็นเหตุการณ์รายงานว่าได้เห็นบางสิ่งที่มีใบหน้าขนาดใหญ่และนิ้วมือผอมแห้ง{nl}มันคืออะไรกันแน่นะ?
QUEST_20150317_000057	"In the past, pilgrims traveled through this forest. {nl}But now due to the presence of monsters, only soldiers gather here."	เมื่อสมัยก่อนมักจะมีผู้แสวงบุญเดินทางผ่านป่าผืนนี้{nl}แต่ดูตอนนี้สิ มีแต่ทหารอยู่เต็มไปหมดเพราะต้องอยู่เฝ้าคอยจัดการพวกสัตว์ประหลาดที่โผล่ออกมา
QUEST_20150317_000058	"Up until four years ago, the goddesses often blessed us with signs of their presence. {nl}But now, even our combined prayers don't bring so much as a tremor. {nl}Have they truly abandoned us?"	ตั้งแต่อดีตจนถึงเมื่อสี่ปีก่อน พวกเราได้รับพรจากเหล่าเทพธิดาอยู่บ่อยครั้ง มันทำให้เราได้รับรู้ถึงการคงอยู่ของพวกนาง{nl}แต่ในเวลานี้ ไม่ว่าจะร่วมกันสวดอ้อนวอนเท่าไรกลับไม่มีสิ่งใดเกิดขึ้นเลย{nl}หรือนี่พวกนางได้ทอดทิ้งเราไปแล้วจริงๆ ?
QUEST_20150317_000059	Vacenin personally goes to each region to deal with things. {nl}He gets uncomfortable when he stays in the city.	ผบ. Vacenin ออกไปจัดการภารกิจที่แคว้นต่างๆ ด้วยตัวเองน่ะ{nl}เขาไม่ค่อยชอบอยู่ในเมืองสักเท่าไหร่
QUEST_20150317_000060	"Do you plan on staying or enlisting? {nl}If you're interested, I'll gladly recommend you to the head commanders."	เจ้าแค่มาหาที่พักเฉยๆ หรืออยากจะมาสมัครเข้าร่วมกับกองทัพล่ะ?{nl}ถ้าเจ้าสนใจ ข้าสามารถพาเจ้าไปแนะนำกับผู้บังคับบัญชาระดับสูงได้เลยนะ
QUEST_20150317_000061	"Don't let your guard down. {nl}Monsters can appear any time, anywhere."	เจ้าอย่าได้ประมาทไปล่ะ พวกสัตว์ประหลาดน่ะ มันโผล่ออกมาไม่เลือกที่เลือกเวลาหรอกนะ
QUEST_20150317_000062	Where in the world did Goddess Zemyna go...	โอ… เทพธิดา Zemyna ท่านหายไปอยู่ที่ใดกัน…
QUEST_20150317_000063	What in the world do you call this?	ท่านเรียกสิ่งนี้ว่าอะไรเหรอ?
QUEST_20150317_000064	"I think Zemyna, the goddess of the earth would grieve more than anyone else."	ข้าคิดว่าเทพธิดาแห่งผืนพสุธา Zemyna น่ะ นางคงจะรู้สึกเศร้าโศกกว่าผู้ใดเป็นแน่แท้
QUEST_20150317_000065	"The Pokubu have always been here, but sometimes unfamiliar monsters are spotted as well."	ที่นี่น่ะเป็นถิ่นที่อาศัยของพวก Pokubu แต่บางทีก็มีสัตว์ประหลาดที่หน้าตาไม่คุ้นออกมาให้เห็นอยู่บ้าง
QUEST_20150317_000066	"I've thought about it. There's no doubt that the goddesses have abandoned us all. {nl}If that weren't so, then there wouldn't be so many monsters."	ข้าได้ลองคิดไตร่ตรองดูแล้ว เหล่าเทพธิดาจะต้องละทิ้งพวกเราไปแล้วแน่ๆ{nl}ไม่อย่างนั้นก็คงไม่มีสัตว์ประหลาดออกมามากมายขนาดนี้หรอก
QUEST_20150317_000067	They say there's a man blessed with the goddess' strength living in the forest.	ว่ากันว่ามีชายผู้ได้รับพรจากองค์เทพธิดาอาศัยอยู่ในป่านี้
QUEST_20150317_000068	I want to go home.	ข้าอยากกลับบ้าน
QUEST_20150317_000069	The number of monsters here doesn't seem to change no matter how many of them we kill.	ดูเหมือนจำนวนของพวกสัตว์ประหลาดจะไม่ลดลงเลยนะ ไม่ว่าเราจะฆ่ามันไปเท่าไหร่
QUEST_20150317_000070	"Did Julian send you off, Revelator?"	ผู้หยั่งรู้ Julian ส่งท่านมาที่นี่หรือ?
QUEST_20150317_000071	I'm amazed. {nl}You're the first person I've met here in several years.	ข้าประหลาดใจจริงๆ{nl}ท่านเป็นคนแรกที่ข้าได้พบตลอดระยะเวลาหลายปีมานี้{nl}
QUEST_20150317_000072	I'll show you what I saw.	ข้าจะให้ท่านดูสิ่งที่ข้าได้เห็น
QUEST_20150317_000073	"Please, forget about me and just leave. {nl}The flowers seem to be coming along beautifully."	ได้โปรด กลับไปซะแล้วลืมข้าเสีย{nl}ดูเหมือนว่าหมู่มวลดอกไม้จะผลิบานอย่างงดงามเลยนะ
QUEST_20150317_000074	Lena	Lena
QUEST_20150317_000075	"Please, tell me your life story. {nl}We follow the will of Vaivora and record all that is in this world."	ท่านช่วยเล่าเรื่องราวชีวิตของท่านให้ข้าฟังได้หรือไม่{nl}พวกเราคือผู้ที่ทำตามความประสงค์ของ Vibora เราจดบันทึกเรื่องราวทั้งหมดทั้งมวลที่เกิดขึ้นบนโลกใบนี้
QUEST_20150317_000076	Henrika	Henryka
QUEST_20150317_000077	Hello! {nl}Welcome to the Klaipeda branch of the Magic Association. {nl}We specialize in studying the strange phenomena that occur when special items are combined.	สวัสดี!{nl}ยินดีต้อนรับสู่สมาพันธ์ผู้วิเศษสาขาเมือง Klaipeda{nl}เราเชี่ยวชาญในการศึกษาปรากฏการณ์แปลกๆ ที่เกิดขึ้นเมื่อมีการผสมของวิเศษ
QUEST_20150317_000078	"There's nothing to see here but steam and Vubbes. {nl}Wait, what's that thing with the big face that's approaching?!"	แถวนี้น่ะไม่มีอะไรให้มองหาหรอกนอกจากไอน้ำกับพวก Vubbe…{nl}เดี๋ยวก่อน ไอ้ตัวหน้าบานที่กำลังพุ่งมาทางนี้มันคือตัวอะไรกัน?!
QUEST_20150317_000079	The land needs our attention as well. {nl}The world still isn't ruined... right?	แผ่นดินนี้ต้องการการดูแลจากพวกเราเช่นกัน{nl}นี่มันคงยังไม่ถึงคราวจบสิ้นของโลกนี้หรอก… ใช่ไหม?
QUEST_20150317_000080	"If we continue to have courtesy, then we still know the way of a righteous life. {nl}We should all consider whether or not this mess is our fault because we relied on the goddesses for everything."	หากเรายังคงไว้ซึ่งมารยาทอันดีต่อกันได้แล้วละก็ นั่นจึงเรียกว่าเรายังรู้วิธีการใช้ชีวิตที่ถูกต้อง{nl}ไม่ว่าเรื่องราววุ่นวายที่กำลังเกิดนี้จะเป็นฝีมือพวกเราเองหรือไม่ ข้าคิดว่านี่เป็นโอกาสอันดีที่เราควรจะเริ่มคิดได้แล้วว่าพวกเราหวังพึ่งองค์เทพธิดามากเกินไป
QUEST_20150317_000081	Bulletin Board	Bulletin Board
QUEST_20150317_000082	Welcome to the mining town of Klaipeda!	ยินดีต้อนรับสู่เขตเหมืองแร่แห่งนคร Klaipeda!
QUEST_20150317_000083	Indifferent Widow	Indifferent Widow
QUEST_20150317_000084	"I'm not sure I understand it completely, but what I'm sure of is that the goddesses didn't disappear all at once."	ข้าไม่แน่ใจหรอกนะว่าข้าเข้าใจมันทั้งหมด{nl}แต่อย่างหนึ่งที่ข้ามั่นใจมากคือเหล่าเทพธิดาน่ะ พวกนางไม่ได้หายตัวไปพร้อมกันทั้งหมดหรอกนะ
QUEST_20150317_000085	"The first to disappear was the Goddess Gabija. {nl}I heard it was a very long time ago. {nl}One by one, starting with Gabija, they stopped replying."	องค์แรกที่หายตัวไปคือเทพธิดา Gabija{nl}ข้าได้ยินมาว่ามันเกิดขึ้นเมื่อนานมากแล้ว{nl}พวกนางค่อยๆ หายไปทีละองค์ ทีละองค์ เริ่มจาก Gabija{nl}
QUEST_20150317_000086	Goddess Vakarine left us shortly before Medzio Diena. {nl}Both Zemyna and Ausrine disappeared soon after. {nl}It's already been four years since.	เทพธิดา Vakarine จากไปก่อนจะเกิดเหตุการณ์ Medzio Diena ไม่นาน{nl}และทั้ง Zemyna กับ Ausrine ก็หายตัวไปอีกไม่นานหลังจากนั้น{nl}นี่ก็ผ่านมา 4 ปีแล้วหลังจากที่มันเกิดขึ้น{nl}
QUEST_20150317_000087	That's right. The strangest one of all was the Goddess Laima. {nl}No one's really sure when she disappeared.	ใช่แล้ว ที่ประหลาดที่สุดคือเทพธิดา Laima{nl}ไม่มีใครรู้แน่ชัดหรอกว่านางได้หายตัวไปเมื่อไหร่{nl}
QUEST_20150317_000088	"Besides, isn't Laima the goddess of fate and foresight? {nl}She probably knew all about it."	และอีกอย่าง นางคือเทพธิดาแห่งโชคชะตาและปัญญาไม่ใช่หรือ?{nl}บางทีนางอาจจะรู้เรื่องทุกอย่างอยู่แล้วก็ได้
QUEST_20150317_000089	Resting Soldier	Resting Soldier
QUEST_20150317_000090	I used to be an adventurer like you. Then I took an arrow in the knee...	ข้าก็เคยเป็นนักผจญภัยอย่างท่านนี่แหละ จนกระทั่งข้าโดนธนูปักเข้าที่หัวเข่า…{nl}
QUEST_20150317_000091	"It doesn't matter. Come and face me, you monsters!"	นั่นมันไม่มีความหมายหรอก จงออกมาสู้กับข้า เจ้าปีศาจ!{nl}
QUEST_20150317_000092	A goddess appeared in my dream just now... {nl}She was so enchanting...	เทพธิดาองค์หนึ่งเพิ่งจะปรากฎกายในความฝันของข้า…{nl}มันช่างเป็นอะไรที่… ชวนให้ลุ่มหลง…{nl}
QUEST_20150317_000093	"Still, I have a duty to defend the kingdom. That's why I'm here."	แต่ข้ายังคงมีหน้าที่ต้องปกป้องอาณาจักร นั่นคือเหตุผลที่ข้ามาที่นี่
QUEST_20150317_000094	Uska is an old friend of mine.	Uska เป็นสหายเก่าของข้าเอง{nl}
QUEST_20150317_000095	"We did our tests to become knights together. Uska got to where he is now with my sincere support. {nl}Oh, those were some crazy days... It'd be nice to see him again."	พวกเราผ่านบททดสอบการเป็นอัศวินมาด้วยกัน ที่เขาประสบความสำเร็จได้ขนาดนี้ก็มีข้านี่แหละที่สนับสนุนและผลักดันเขา{nl}อา… มันช่างเป็นคืนวันที่สุดเหวี่ยงจริงๆ ถ้าข้าได้เจอเค้าอีกก็คงดี
QUEST_20150317_000096	Just don't believe everything he says. {nl}He was known for being quite the show-off back home.	เจ้าอย่าไปเชื่อทุกอย่างที่เขาพูดล่ะ{nl}ที่บ้านเกิด เขามีชื่อเสียงอยู่ว่าออกจะเป็นพวกชอบโชว์พาวอะนะ{nl}
QUEST_20150317_000097	"Me? I find it funny, so I just leave him alone."	ข้ารึ? ข้าคิดซะว่ามันเป็นเรื่องตลกน่ะ ก็เลยไม่คิดจะไปยุ่งอะไรด้วย
QUEST_20150317_000098	"Uh, wait. I take back what I said about not believing everything he says."	เอ่อ… เดี๋ยวก่อนนะ ข้าขอถอนคำพูดที่บอกว่าอย่าเชื่อทุกอย่างที่เจ้านั่นพูด{nl}
QUEST_20150317_000099	Everything that flies out of his mouth is a lie. Don't trust him.	จริงๆ แล้วอะไรก็ตามที่ออกจากปากหมอนั่นมันเป็นเรื่องลวงทั้งหมดนั่นแหละ อย่าไว้ใจเขาเด็ดขาด
QUEST_20150317_000100	Siauliai Guard	Siauliai Guard
QUEST_20150317_000101	There are monsters beyond this point. Be careful.	ระวังตัวด้วย เส้นทางข้างหน้ามีสัตว์ประหลาดป้วนเปี้ยนอยู่
QUEST_20150317_000102	"These woods aren't exactly peaceful, but it's better than other places. {nl}There are forests that have nothing but souls roaming about."	ป่านี้ไม่ได้สงบสุขอย่างที่คิดหรอกนะ แต่ก็ถือว่าดีกว่าที่อื่นๆ มากแล้วล่ะ{nl}ข้าได้ยินว่าป่าบางแห่ง ไม่มีสิ่งใดอาศัยอยู่เลยนอกจากวิญญาณที่วนเวียนอยู่เต็มไปหมด
QUEST_20150317_000103	This is what people who have seen a goddess in their dreams are being called.	นั่นคือชื่อที่ใช้เรียกผู้ที่ได้เห็นองค์เทพธิดาในความฝันของพวกเขา
QUEST_20150317_000104	"I thought the Revelators' visions were madness at first. {nl}After all, the goddesses have been gone for a long time."	ข้าเคยคิดว่าสิ่งที่พวก ผู้หยั่งรู้ เห็นน่ะมันคือสิ่งที่พวกเขาคิดและจินตนาการขึ้นมาเองจากความบ้าคลั่ง{nl}เพราะใครๆ ต่างก็รู้ว่าเหล่าเทพธิดาได้จากพวกเราไปตั้งนานแล้ว{nl}
QUEST_20150317_000105	Isn't it true that the goddesses haven't responded to any of our prayers since Medzio Diena four years ago?	ก็มันคือเรื่องจริงไม่ใช่หรือไง ที่เหล่าเทพธิดาไม่เคยตอบรับเสียงอ้อนวอนของพวกเราเลยสักครั้งหลังจากเกิดเหตุการณ์  Medzio Diena เมื่อ ปีก่อน?
QUEST_20150317_000106	You can find Class Masters all around the kingdom. {nl}Why don't you visit them and learn what you can?	Class Master ของหลายๆ อาชีพกระจายตัวอยู่รอบๆ อาณาจักร{nl}ทำไมท่านไม่ลองไปหาพวกเขาแล้วขอเรียนในสิ่งที่ท่านพอจะเรียนได้ดูล่ะ?
QUEST_20150317_000107	"You don't know about Medzio Diena? You must have come from really far away. {nl}Four years ago, things went out of control at the capital."	อะไรนะ เจ้าไม่รู้เกี่ยวกับเหตุการณ์ Medzio Diena งั้นเรอะ? นี่เจ้าคงเดินทางมากจากพื้นที่ห่างไกลสุดๆ เลยสิท่า{nl}เมื่อ  ปีก่อน มีเรื่องไม่ดีมากๆ เกิดขึ้นในเมืองหลวงน่ะ
QUEST_20150317_000108	It was a disaster... Many people were either injured or killed. {nl}Once gentle creatures turned fierce and many new monsters emerged.	มันคือหายนะครั้งใหญ่… ผู้คนมากมายบาดเจ็บและล้มตาย{nl}สิ่งมีชีวิตที่ครั้งหนึ่งเคยอ่อนโยนและน่ารักกลับกลายเป็นอสูรกายซ้ำยังมีพวกสัตว์ประหลาดหน้าใหม่ๆ โผล่ออกมาอีก
QUEST_20150317_000109	"If you are still interested about what happened on Medzio Diena four years ago, try visiting Klaipeda. {nl}Many of its survivors took refuge there."	ถ้าเจ้ายังต้องการที่จะรู้ว่ามันเกิดอะไรขึ้นในวันแห่งต้นไม้ศักดิ์สิทธิ์เมื่อ  ปีก่อน จงไปที่เมือง Klaipeda{nl}ผู้คนที่รอดตายจากเหตุการณ์ครั้งนั้นหลายคนลี้ภัยอยู่ที่นั่น
QUEST_20150317_000110	Eastern Woods Sentinel	Eastern Woods Sentinel
QUEST_20150317_000111	Are you heading to the Eastern Woods? {nl}You mustn't! It's far too dangerous!	เจ้ากำลังมุ่งหน้าไปที่ Eastern Woods งั้นรึ?{nl}เจ้าเข้าไปที่นั่นไม่ได้นะ มันอันตรายเกินไป!
QUEST_20150317_000112	"Damn, those stubborn things chased us this far!"	ให้ตายสิ ไอ้ตัวดื้อด้านนั่นกัดพวกเราไม่ปล่อยเลย!
QUEST_20150317_000113	Those screams... We're under attack!	เสียงกรีดร้องนั่นมัน… เราถูกโจมตี!
QUEST_20150317_000114	Safety Instructions	Safety Instructions
QUEST_20150317_000115	1. Only authorized personnel may enter. {nl}2. Always follow the directions of the mining supervisor.	1. เข้าได้เฉพาะผู้ที่ได้รับอนุญาตเท่านั้น{nl}2. ปฏิบัติตามคำสั่งของหัวหน้างานอย่างเคร่งครัด
QUEST_20150317_000116	3. Do not approach closed-off areas. {nl}4. Any suspicious individuals should be reported to the knights of Klaipeda.	3. อย่าเข้าใกล้พื้นที่ที่ถูกปิด{nl}. หากพบบุคคลต้องสงสัย ต้องรายงานต่ออัศวินของเมือง Klaipeda ทันที
QUEST_20150317_000117	Supply Base Soldier	Supply Base Soldier
QUEST_20150317_000118	I've never been in a real fight before so I'm a bit nervous.	ข้าไม่เคยได้เข้าร่วมการต่อสู้จริงๆ เลยสักครั้ง ก็เลยรู้สึกตื่นเต้นนิดหน่อยน่ะ
QUEST_20150317_000119	Farm Sentinel	Farm Sentinel
QUEST_20150317_000120	"My colleague is in the middle of a battle at the Miners' Village. {nl}I've thought of going to help, but the Eastern Woods is in trouble as well, so all I can do is worry."	สหายร่วมรบของข้ากำลังต่อสู้อยู่ที่ Miners' Village{nl}ข้าคิดว่าอยากจะไปช่วย แต่ที่ Eastern Woods นี้ก็กำลังเกิดปัญหาขึ้นเหมือนกัน ดังนั้นข้าจึงทำได้แค่เป็นกังวล
QUEST_20150317_000121	I think this mission has shown me enough monsters for a lifetime. {nl}It used to be just groups of Vubbes.	ข้าคิดว่าภารกิจนี้คงทำให้ข้ารู้สึกเอียนเจ้าสัตว์ประหลาดพวกนี้ไปจนตายเลยล่ะ{nl}เมื่อก่อนนี้ที่ข้าเจอ อย่างมากก็แค่กลุ่มของพวก Vubbe
