QUEST_LV_0200_20150317_000001	Philipas' Soldier	ทหารของPhilipas
QUEST_LV_0200_20150317_000020	This forest is cursed... it consumes the owls. {nl} I have hardly anything to compel bravery from others.	ป่าแห่งนี้ถูกสาป... มันกลืนกินเหล่านกฮูก{nl}มันยากที่จะกระตุ้นให้ผู้อื่นมีความกล้าหาญ
QUEST_LV_0200_20150317_000021	"Ever since that huge tree suddenly arose, this forest has changed into something horrid. {nl} Even the trees' roots frighten whoever stares at them."	ป่าแห่งนี้เปลี่ยนไปเป็นบางสิ่งที่น่ากลัวนับตั้งแต่ต้นไม้ใหญ่เกิดขึ้นอย่างฉับพลัน {nl}ยิ่งไปกว่านั้นรากของต้นไม้เขย่าขวัญใครก็ตามที่จ้องมองไปที่มัน
QUEST_LV_0200_20150317_000022	Devoted Owl Sculpture	รูปปั้นนกฮูกซื่อสัตย์
QUEST_LV_0200_20150317_000023	Someone was held captive. {nl} I have a feeling he's going to disappear...	บางคนถูกจับไปเป็นเชลยศึก{nl}ฉันมีความรู้สึกว่าเขาจะหายไป...
QUEST_LV_0200_20150317_000024	The sacred force created by the goddess has not completely disappeared. {nl}Will it be able to suppress this devastation? {nl}	พลังศักดิ์สิทธิ์ที่สร้างขึ้นโดยเทพธิดายังไม่ได้หายไปอย่างสมบูรณ์{nl}สามารถที่จะหยุดยั้งการทำลายล้างนี้ได้หรือไม่? {nl}
QUEST_LV_0200_20150317_000025	The chief gave me power.{nl}I won't be scared.	หัวหน้าให้อำนาจแก่ฉัน{nl}ฉันจะไม่กลัว
QUEST_LV_0200_20150317_000026	I'm not going to be afraid anymore. I will never be eaten by monsters.	ฉันจะไม่กลัวอีกต่อไป ฉันจะไม่ถูกเหล่ามอนสเตอร์กินอย่างแน่นอน
QUEST_LV_0200_20150317_000027	Troubled Owl Sculpture	รูปปั้นนกฮูกกังวลใจ
QUEST_LV_0200_20150317_000028	"I'm suffering every day.{nl}Perhaps, I will also be eaten by monsters."	ฉันรู้สึกทุกข์ทรมานทุกวัน{nl}บางที ฉันอาจจะถูกเหล่ามอนสเตอร์กินก็เป็นได้
QUEST_LV_0200_20150317_000029	This forest is increasingly covered with demons.{nl}Where is the goddess?	ป่านี้เต็มไปด้วยเหล่าปีศาจ{nl}เทพธิดาอยู่ที่ไหน?
QUEST_LV_0200_20150317_000030	I was chosen by the chief... {nl} I'll do my best to defeat the monsters.	ฉันได้รับเลือกจากหัวหน้า... {nl} ฉันจะทำหน้าที่ของฉันให้ดีที่สุดในการปราบมอนสเตอร์
QUEST_LV_0200_20150317_000031	The chief is also struggling like this...{nl}Never will I be eaten until the goddess comes back.	หัวหน้ายังคงดิ้นรนเช่นนี้...{nl}ฉันไม่มีทางถูกกินจนกว่าเทพธิดาจะกลับมา
QUEST_LV_0200_20150317_000032	Subordinate Owl 3	บริวารนกฮูก 3
QUEST_LV_0200_20150317_000033	"We have always been here at this place, but where is the goddess who has always looked after us?"	พวกเราอยู่ที่นี่เสมอแต่เทพธิดาจะเฝ้ามองพวกเราจากที่ใด?
QUEST_LV_0200_20150317_000034	Do we exist only for guiding humans' souls?	เราดำรงอยู่เพียงเพื่อคอยแนะนำจิตวิญญาณของมนุษย์หรือ?
QUEST_LV_0200_20150317_000035	Soldier Dominic	ทหาร Dominic
QUEST_LV_0200_20150317_000036	I've been ordered to protect this place with my life and to do some reconnaissance at the same time.{nl}I don't know exactly what they expect me to do.	ฉันได้รับคำสั่งให้ปกป้องสถานที่แห่งนี้ด้วยชีวิตของฉันและทำการสำรวจในเวลาเดียวกัน{nl}ฉันไม่รู้ว่าอะไรที่พวกเขาคาดหวังให้ทำทำ
QUEST_LV_0200_20150317_000037	Next time I'm going to make sure they tell me exactly what they want me to do.{nl}No. wouldn't it be better to ask Julian?	ครั้งต่อไปฉันจะทำให้แน่ใจว่าพวกเขาจะบอกสิ่งที่พวกเขาคาดหวังให้ฉันทำอย่างแน่นอน{nl}ไม่ มันจะดีกว่าไหมถ้าถาม Julian?
QUEST_LV_0200_20150317_000038	"If it's just monsters of that level, I guess I can report that there is no serious problem.{nl}Oh, if you happen to run into Samson, please tell him to stop fooling around and continue scouting."	หากมันเป็นเพียงมอนสเตอร์ระดับนั้น ฉันคิดว่าฉันสามารถรายงานว่านั่นไม่ใช้ปัญหาร้อยแรงอะไร{nl}โอ้ หากคุณกลับไปที่Samson โปรดบอกเขาให้หยุดหลอกลวงเสียทีและทำการสำรวจต่อไป
QUEST_LV_0200_20150317_000039	"I will protect this area, so go patrol Veltui Crossroads.{nl}As for the reports, I will do them separately at a later time."	ฉันจะปกป้องบริเวณนี้และไปทำการตรวจตราทางแยกVeltui {nl}ฉันจะทำรายงานอีกครั้งในเวลาต่อมา
QUEST_LV_0200_20150317_000040	Soldier Samson	ทหาร Samson
QUEST_LV_0200_20150317_000041	"Can you please help me find Dominic's engagement ring? {nl} I'm currently undertaking a mission, so I won't be able to leave this spot."	คุณสามารถช่วยฉันหาแหวนหมั้นของ Dominiได้หรือไม่? {nl}ฉันกำลังทำภารกิจอยู่ดังนั้นฉันไม่สามารถจะออกจากภารกิจขณะนี้ได้
QUEST_LV_0200_20150317_000042	"I tell you, he acts like that even though I bought him a roughly similar one. So stingy..."	ฉันซื้อมันมาด้วยเหตุผลที่คล้ายกัน...
QUEST_LV_0200_20150317_000043	"What is this ugly thing? Oh, could the ring be inside?"	สิ่งที่น่าเกลียดนี้คืออะไร? โอ้...แหวนอยู่ข้างในสิ่งนี้รึ?
QUEST_LV_0200_20150317_000044	"A knife won't fit inside, and there's no other way to get it out.{nl}Right! Can't we burn it to retrieve what's inside?"	มีดไม่สามารถเข้าไปข้างในได้ดังนั้นไมมีทางที่จะนำมันออกมาได้{nl}ถูกต้อง! เป็นได้หรือไม่ที่จำนำมันออกมาด้วยการใช้ไฟ?
QUEST_LV_0200_20150317_000045	Just make sure to bring me ones that aren't too thick.	หากมั่นใจ กรุณานำมันมาให้กับฉัน
QUEST_LV_0200_20150317_000046	"This should be just right.{nl}Good. Now, how do I burn this while I am working and not get caught?"	ถูกต้องแล้ว{nl}ดี ตอนนี้ฉันจะสามารถเผาสิ่งนี้ในขณะที่ฉันกำลังทำงานได้อย่างไร?
QUEST_LV_0200_20150317_000047	"There should be plenty of Dry Thorn Forest Wood at the edge of Ishisineti Cliff. {nl} I'm on patrol and don't have time, so I ask of you again."	นั่นควรจะเป็นป่าไม้ที่เต็มไปด้วยความอุดมสมบูรณ์ที่ขอบหน้าผา Ishisineti {nl}ฉันอยู่ระหว่างการลาดตะเวนและไม่มีเวลาดังนั้นฉันจะสอบถามคุณอีกครั้ง
QUEST_LV_0200_20150317_000048	"Ah, you should be able to burn it secretly at the top of Ishisineti Cliff. {nl} This is my last request. You just need to make preparations for the fire."	อ่า คุณควรจะสามารถเผามันได้ที่ชั้นบนของหน้าผา Ishisineti {nl}นี่เป็นคำขอสุดท้ายของฉัน คุณต้องเตรียมการเพื่อเผามัน
QUEST_LV_0200_20150317_000049	I will never again care for another's wedding ceremony.	ฉันไม่เคยสนใจในพิธีแต่งงานของผู้อื่น
QUEST_LV_0200_20150317_000050	I'll just say I have to go to the bathroom and burn it secretly there.{nl}Thank you very much.	ฉันเพียงจะบอกว่าฉันจะไปที่ห้องน้ำและเผามันอย่างลับๆ{nl}ขอบคุณมาก
QUEST_LV_0200_20150317_000051	Soldier Poulter	ทหาร Poulter
QUEST_LV_0200_20150317_000052	"My goodness, the order states to eliminate all of the monsters in this area!{nl}How am I supposed to handle this many enemies all by myself?"	โอ้...เทพธิดาของฉัน คำสั่งได้กล่าวว่าต้องจัดการมอนสเตอร์ในบริเวณนี้ทั้งหมด!?
QUEST_LV_0200_20150317_000053	"It was too overwhelming to carry out the task just by myself.{nl}However, I'm really fortunate since you decided to help me."	ฉันยุ่งมากที่จะทำมันเพียงลำพัง{nl}แต่ฉันหวังว่าคุณจะสามารถช่วยเหลือฉันได้
QUEST_LV_0200_20150317_000054	I could almost cry my eyes out!{nl}Thank you very much for your help.	ฉันร้องไห้หนักมาก!{nl}ขอบคุณมากสำหรับความช่วยเหลือของคุณ
QUEST_LV_0200_20150317_000055	Commander Julian	Commander Julian
QUEST_LV_0200_20150317_000056	"Thanks for the help! {nl} If it's okay with you, I'd like to borrow some more of your strength.{nl}"	ขอบคุณสำหรับความช่วยเหลือ! {nl}หากคุณไม่ว่าอะไร ฉันต้องการขอยืมความแข็งแกร่งบางส่วนของคุณด้วย{nl}
QUEST_LV_0200_20150317_000057	Won't you support Commander O'Rourke's unit at the Veltui Crossroads?	คุณไม่อยากจะสนับสนุนหน่วยบัญชาการของ O'Rourke ที่ทางแยก Veltui ใช่หรือไม่?
QUEST_LV_0200_20150317_000058	Commander O'Rourke	Commander O'Rourke
QUEST_LV_0200_20150317_000059	Very impressive.{nl}Looks like I'll have to buy Julian a drink.	น่าประทับใจมาก{nl}ดูเหมือนว่าฉันจะต้องซื้อเครื่องดื่มให้ Julian
QUEST_LV_0200_20150317_000060	It occurred to me while watching Ironbaum. {nl} What an exceptional companion it could be.	มันเกิดขึ้นกับฉันในขณะที่ดู Iron baum{nl}เขาเป็นสหายที่ยอดเยี่ยมมาก
QUEST_LV_0200_20150317_000061	O'Rourke's unit has been exhausted through big and small battles with Ironbaum.{nl}It would be very reassuring if you could become our strength.	หน่วย O'Rourkeผ่านการต่อสู้ทั้งเล็กและใหญ่ด้วยIron baum{nl}มันจะเรียกความเชื่อมั่นได้มากหากคุณจะมาเสริมความแข็งแกร่งให้กับเรา
QUEST_LV_0200_20150317_000062	Substitute Owl Sculpture	รูปปั้นนกฮูกตัวแทน
QUEST_LV_0200_20150317_000063	"I want to help purify the thorny forest, but I'm not strong enough. Could you eliminate the Tree Ghouls bothering the soldiers?"	ฉันต้องการช่วยทำการชำระล้างป่าหนามแต่ฉันยังไม่แข็งแกร่งเพียงพอ คุณสามารถกำจัดต้น Ghouls ที่รบกวนเหล่าทหารได้หรือไม่?
QUEST_LV_0200_20150317_000064	It would be nice if more people could come and go using this road like before.{nl}I find people very interesting.	มันคงจะดีหากผู้คนมากมายมาใช้ถนนนี้เหมือนดังเมื่อก่อน{nl}ฉันจะหาคนที่สนใจ
QUEST_LV_0200_20150317_000065	Thank you. I hope I'm not giving you needless trouble all because of my aspirations.	ขอบคุณ ฉันหวังว่าฉันจะไม่ได้เป็นอุปสรรคสำหรับคุณ
QUEST_LV_0200_20150317_000066	Alright. We haven't received any word from our forces at Niurus Highway.{nl}I request you find them.	ดี พวกเราไม่ได้รับข่าวใดๆจากกองกำลังทางสายหลัก Niurus {nl}ฉันขอร้องให้คุณช่วยตามหาพวกเขาด้วย
QUEST_LV_0200_20150317_000067	"If you can't find them, return to us."	หากคุณหาพวกเขาไม่พบ จงกลับมาหาเรา
QUEST_LV_0200_20150317_000068	Soldier Kallus	ทหาร Kallus
QUEST_LV_0200_20150317_000069	There are still a few of our colleagues further in.{nl}Please help us.	นี่ยังคงมีสหายของพวกเราอยู่ข้างในนั้น{nl}ได้โปรดช่วยเหลือพวกเราด้วย
QUEST_LV_0200_20150317_000070	Soldier Dainus	ทหาร Dainus
QUEST_LV_0200_20150317_000071	Ironbaum attacked us at the Drieza Waterland.{nl}There are still soldiers left that have not yet escaped.{nl}	Iron baum โจมตีพวกเราที่ Drieza Waterland{nl}ยังคงมีเหล่าทหารที่ยังไม่ได้ทำการหลบหนีออกมา{nl}
QUEST_LV_0200_20150317_000072	I'm embarrassed to have escaped by myself.{nl}	ฉันรู้สึกละอายในที่หลบหนีมาเพียงลำพัง{nl}
QUEST_LV_0200_20150317_000073	Settled Owl Sculpture	รูปปั้นนกฮูกตัดสินใจ
QUEST_LV_0200_20150317_000074	I have something to ask from you.{nl}I'm worried about the soldiers who are being hurt by the Ravinelarvae.	ฉันมีบางสิ่งบางอย่างที่จะถามจากคุณ{nl}ฉันกังวลเกี่ยวกับทหารที่ถูกทำร้ายโดย Ravinelarvae
QUEST_LV_0200_20150317_000075	"Thank you.{nl}From now on, can our soldiers work comfortably?"	ขอบคุณ{nl}จากนี้ทหารของเราสามารถทำงานได้อย่างสะดวกสบายใช่หรือไม่?
QUEST_LV_0200_20150317_000076	"I appreciate your kind help.{nl}One day, I will return this favor when I meet your soul form."	ฉันซาบซึ้งในการช่วยเหลือของคุณ{nl}ฉันจะดีเยี่ยมเมื่อคุณพบฉันอีกครั้ง
QUEST_LV_0200_20150317_000077	"Are you the famous Revelator?{nl}Good, I'm puzzled with something. I need your help."	คุณเป็นนักเปิดเผยความจริงที่มีชื่อเสียงใช่หรือไม่?{nl}ดี ฉันงงกับบางสิ่ง ฉันต้องการความช่วยเหลือของคุณ
QUEST_LV_0200_20150317_000078	"Ah, now I've received the order.{nl}Return to Commander Julian."	อ่า ตอนนี้ฉันได้รับคำสั่ง{nl}จงกลับไปหาผู้บัญชาการ Julian
QUEST_LV_0200_20150317_000079	"I'm collecting information about Ironbaum.{nl}In order to reach the Gateway of the Great King, we have to defeat this monster first."	ฉันเก็บรวบรวมข้อมูลเกี่ยวกับ Iron baum{nl}เพื่อให้สามารถเข้าถึงทางเข้าออกของกษัตริย์ที่ดีที่สุด พวกเราต้องทำการปราบมอนสเตอร์เป็นสิ่งแรก
QUEST_LV_0200_20150317_000080	Thank you.{nl}Come back after taking this order to Poulter at Zaizda Hill.	ขอบคุณ{nl}จงกลับมาหลังจากนำคำสั่งนี้ไปให้ Poulter ที่ Zaizda Hill.
QUEST_LV_0200_20150317_000081	Give me back the good old times.{nl} When there were no thorns.	นำช่วงเวลาที่ดีกลับคืนมาให้ฉัน{nl} เมื่อที่นี่ไม่มีพืชหนาม
QUEST_LV_0200_20150317_000082	If the path to the Gateway of the Great King is safe then I will be able to see more people.{nl}	หากเส้นทางที่ไปสู่ทางเข้าออกของกษัตริย์ที่ดีปลอดภัยจากนั้นฉันจะสามารถเห็นผู้คนอื่นๆ{nl}
QUEST_LV_0200_20150317_000083	"Over all this time, I've seen it all.{nl}Now, I want only joy to be seen."	ฉันเคยเห็นสิ่งต่างๆมากมายมาเป็นเวลานาน{nl}ตอนนี้ฉันต้องการเพียงแค่ความสุขเท่านั้น
QUEST_LV_0200_20150317_000084	Why do human souls contain so many things?	ทำไมวิญญาณมนุษย์จึงมีส่วนประกอบมากมายหลายสิ่ง?
QUEST_LV_0200_20150317_000085	"If we run into monsters, we'll have no choice but to fight."	หากพวกเราวิ่งเข้าหามอนสเตอร์ พวกเราจะไม่มีทางเลือกนอกจากต่อสู้เท่านั้น
QUEST_LV_0200_20150317_000086	We're working to reach the Gateway of the Great King.{nl}Have you heard the news about Ironbaum?	พวกเรากำลังทำงานเพื่อให้ไปถึงทางเข้าออกของกษัตริย์{nl}คุณเคยได้ยินข่าวเกี่ยวกับ Iron baumหรือไม่?
QUEST_LV_0200_20150317_000087	"In order to be a group leader, you need unwavering principles."	คุณต้องยึดมั่นหลักการเพื่อที่จะได้เป็นผู้นำกลุ่ม
QUEST_LV_0200_20150317_000088	"It's true that trying to reach the Gateway of the Great King is reckless.{nl}However, we can't disobey the order."	มันเป็นความจริงที่ว่าการพยายามไปให้ถึงทางเข้าออกของกษัตริย์นั้นเป็นความเสี่ยง{nl}อย่างไรก็ตามเราไม่สามารถปฎิเสธคำสั่งได้
QUEST_LV_0200_20150317_000089	"It may seem bad at first, but the two commanders have a surprisingly good relationship."	มันดูเหมือนจะไม่ค่อยดีในตอนแรกแต่ผู้บัญชาการทั้งสองมีความสัมพันธ์อันดีต่อกันอย่างน่าประหลาดใจ
QUEST_LV_0200_20150317_000090	I feel so lonely since no one is here.{nl}It's been a long time since I met new faces.	ฉันรู้สึกโดดเดี่ยวตั้งแต่ไม่มีใครอยู่ที่นี่{nl}มันเป็นเวลานานมาแล้วตั้งแต่ฉันได้พบผู้อื่น
QUEST_LV_0200_20150317_000091	"What do you want to do here in this empty forest? No way, the way is available?"	คุณต้องการทำอะไรที่ป่าอันว่างเปล่านี้หรือไม่? ไม่มีทาง วิธีนี้จะใช้ได้ผลหรือไม่?
QUEST_LV_0200_20150317_000092	Thank you.{nl}The soldiers and my colleagues will now be able to sleep comfortably.	ขอบคุณ{nl}เหล่าทหารและผู้ร่วมงานของฉันจะสามารถนอนหลับได้อย่างสบายเสียที
QUEST_LV_0200_20150317_000093	I can't feel my arms and legs.{nl}I feel so strange even though It's not cold.	ฉันไม่รู้สึกถึงแขนและขาของฉัน{nl}Iฉันรู้สึกแปลกๆถึงแม้ว่ามันจะไม่รู้สึกเย็นก็ตาม
QUEST_LV_0200_20150317_000094	"We must defeat Gaigalas.{nl}Otherwise, I won't be able to sleep in peace."	พวกเราต้องปราบGaigalas{nl}มิฉะนั้นฉันจะไม่สามารถนอนหลับได้อย่างสงบ
QUEST_LV_0200_20150317_000095	We will start the hunt for Gaigalas soon.{nl}I'm so excited.	พวกเราจะเริ่มล่า Gaigalasเร็วๆนี้{nl}ฉันรู้สึกตื่นเต้นมาก
QUEST_LV_0200_20150317_000096	This grudge is so sad.{nl}It's sad that we are powerless to stop it either.	นี่คือความเศร้าเสียใจ{nl}มันน่าเศร้าที่พวกเราไม่มีพลังมากพอที่จะหยุดยั้งมันได้
QUEST_LV_0200_20150317_000097	Losses will continue unless somebody stops the demons.	ความสูญเสียจะกลับมาอีกครั้งหากไม่มีผู้ใดหยุดยั้งปีศาจได้
QUEST_LV_0200_20150317_000098	Joint Investigation Unit Member Frey	เข้าร่วมเป็นสมาชิกของหน่วยสืบค้น Frey
QUEST_LV_0200_20150317_000099	"I'm Frey.{nl}Listening to the story, the situation sounds bad.{nl}If the information you and Scott researched is correct."	ฉันคือFrey{nl}จงฟังเรื่องนี้ สถานการณ์ฟังดูไม่ค่อยดีนัก{nl}หากข้อมูลที่คุณและScottวิจัยมาถูกต้อง
QUEST_LV_0200_20150317_000100	"{nl}Then, I will have to do something.{nl}Please defeat some Red Vubbes first. They have been bothering me lately."	{nl}เมื่อฉันจะต้องทำบางสิ่ง{nl}ได้โปรดปราบ Red Vubbes ก่อน พวกมันสร้างความรำคาญให้ฉัน
QUEST_LV_0200_20150317_000101	"Please, I ask of you...{nl}I get sick just looking at the red color."	ได้โปรด ฉันขอร้องคุณ..{nl}ฉันจะป่วยเพียงแค่มองไปปที่สีแดง
QUEST_LV_0200_20150317_000102	"Oh, did you really defeat them for me?{nl}Thank you!"	โอ้ คุณทำการปราบพวกมันให้ฉันแล้วหรือ?{nl}ขอบคุณ!
QUEST_LV_0200_20150317_000103	I got something after talking with Scott.{nl}Something like a moving Woodsman piece of tree sculpture.{nl}Is it somehow related with the bark of a tree that the Vubbes got?	ฉันได้รับบางสิ่งหลังจากพูดคุยกับScott{nl}Sบางสิ่งที่คล้ายกับชิ้นส่วนWoodsman ของรูปปั้นต้นไม้{nl}มันเกี่ยวข้องกับเปลืองของต้นไม้ที่ Vubbes มีหรือ?
QUEST_LV_0200_20150317_000104	"By the way, there is still no news from Scott about a second report.{nl}I wonder what happened to him? Hmm..."	ยังคงไม่มีข่าวจาก Scott เกี่ยวกับรายงานฉบับที่สอง{nl}ฉันประหลาดใจว่าอะไรเกิดขึ้นกับเขา? อืมม...
QUEST_LV_0200_20150317_000105	"Wow, great!{nl}I owe you one. Thank you!"	ว้าว เยี่ยม!{nl}ฉันเป็นหนึ้คุณ ขอบคุณ!
QUEST_LV_0200_20150317_000106	Right? So I will ask you.{nl}Woodsmen are appearing on the Deer Hoot Site along with the left side of the path.	ใช่หรือ? ฉันจะขอคุณ{nl}Woodsmen จะปรากฎบน Deer Hoot Site ของถนนทางอยุ่ซ้ายมือของเขา
QUEST_LV_0200_20150317_000107	"I will take this combined result of the information Scott gave me and this fragment to my superior. {nl}By the way, There is still no news from Scott. Even the time Scott promised has long since passed. Just using the hearsay is not enough for the other investigator?{nl}"	ฉันจะนำผลรวมของข้อมูลที่ Scott นำมาให้และชิ้นส่วนนี้ให้กับหัวหน้าของฉัน{nl}ยังคงไม่มีข่าวจาก Scott แม้ว่าเวลาที่Scott สัญญาได้ผ่านไปนานแล้วเพียงแค่ใช้คำบอกเล่าที่ไม่เพียงพอสำหรับผู้สืบค้นคนอื่นๆหรือ?{nl}
QUEST_LV_0200_20150317_000108	Could you pick up the report from Scott?{nl}Do not forget to scold him for skipping work!	คุณได้รับรายงานจาก Scottหรือ?{nl}อย่าลืมที่จะดุว่าเขาสำหรับการหลบหนีงาน!
QUEST_LV_0200_20150317_000109	"Please handle Scott's report. Okay?{nl}Sometimes, he is stupid, but he is also cute."	กรุณาจัดการรายงานของScott ตกลงหรือไม่?{nl}บางครั้งเขาก็โง่แต่เขาก็เป็นคนที่น่ารัก
QUEST_LV_0200_20150317_000110	"I have no face. Nowadays, I have been investigating everywhere to find something..{nl}Thanks a lot. If you are not..{nl}Ah, I don't want to think about it.{nl}"	ฉันไม่มีหน้าที่ ปัจจุบันฉันทำการสืบค้นไปทุกแห่งเพื่อหาบางสิ่ง..{nl}ขอบคุณมาก หากคุณจะไม่..{nl}อ่า ฉันไม่ต้องการคิดเกี่ยวกับมัน{nl}
QUEST_LV_0200_20150317_000111	"Oops, there's no time for this.{nl}I'm sorry, Please give it to Frey instead of me.{nl}I don't know where to start to clean the mess that Vubbes did.."	อ๊ะ ไม่มีเวลาสำหรับสิ่งนี้{nl}ฉันเสียใจ กรุณานำมันไปให้กับ Frey แทนฉันที{nl}ฉันไม่รู้ว่าที่จะเริ่มต้นทำความสะอาดสิ่งสกปรกที่Vubbes ได้ทำไว้..
QUEST_LV_0200_20150317_000112	"Ah, it is the report! {nl}Good, and what was Scott doing?{nl}"	อ่า มันเป็นรายงาน! {nl}ดี และอะไรที่Scott กำลังทำอยู่หรือ?{nl}
QUEST_LV_0200_20150317_000113	Really? He couldn't handle a single Vubbe and got in trouble instead.{nl}Such a shame..I will scold him later!	จริงหรือ? เขาไม่สามารถจัดการกับ Vubbe ได้และมีปัญหาเข้ามาแทนที่{nl}ช่างน่าอับอายนัก ฉันจะว่ากล่าวเขาในภายหลัง!
QUEST_LV_0200_20150317_000114	"Everything is messy. {nl}I can not concentrate as the Vubbes.{nl}He must laugh, If he look at it?"	ทุกอย่างดูยุ่งยาก{nl}ฉันไม่สามารถเพ่งความสนใจไปที่ Vubbes ได้{nl}เขาต้องหัวเราหากเขามองไปที่มันใช่ไหม?
QUEST_LV_0200_20150317_000115	Joint Investigation Unit Member Frey	เข้าร่วมเป็นสมาชิกของหน่วยสืบค้น Frey
QUEST_LV_0200_20150317_000116	It is still in progress to find the truth of the events.{nl}Take it. It's a soul collection scroll.{nl}	มันยังอยู่ในกระบวนการค้นหาความจริงของเหตุการณ์เหล่านี้{nl}นำมันไป มันเป็นม้วนกระดาษสะสมจิตวิญญาณ{nl}
QUEST_LV_0200_20150317_000117	"Once you defeat the Red Vubbe using this scroll, the soul of Vubbe should be out?{nl}I'll have you collect it for me. Then, the data are almost done."	เมื่อคุณได้ทำการปราบRed Vubbe ด้วยการใช้ม้วนกระดาษนี้ วิญญาณของVubbe ควรจะออกไปหรือไม่?{nl}ฉันจะขอให้คุณช่วยเก็บรวบรวมให้กับฉัน จากนั้นข้อมูลเกือบจะสมบูรณ์
QUEST_LV_0200_20150317_000118	Do not forget the order.{nl}You have to defeat the Red Vubbes after using the soul collection scroll on them. Alright?	โปรดอย่าลืมคำสั่งนี้{nl}คุณจะทำการปราบRed Vubbes หลังจากใช้ม้วนกระดาษสะสมจิตวิญญาณกับมัน ถูกต้องหรือไม่?
QUEST_LV_0200_20150317_000119	"About the bark of a tree that the Vubbe got.{nl}I think I can combine it using something like a spirit..{nl}Well, Please tell this news to Ukirt."	เกี่ยวกับเปลืองไม้ที่ Vubbe ได้รับ{nl}ฉันคิดว่าฉันสามารถรวมมันได้โดยใช้บางสิ่งที่คล้ายกับจิตวิญญาณ..{nl}ดี กรุณาบอกข่าวนี้กับ Ukirt
