QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20150317_000029	"Sparnas? We don't have a clear answer about it.{nl}It just appeared from the sky without any signs and destroyed all the supplies we had. Then, it {nl}quickly disappeared. We got headaches just hearing its cries."	Sparnas งั้นเหรอ เราไม่รู้อะไรเกี่ยวกับมันเลยตอนนี้ {nl} มันปรากฎขึ้นจากบนฟ้าแบบไม่มีสัญญาณอะไรและทำลายเสบียงของเราทั้งหมด หลังจากนั้น {nl} พวกมันก็หายไปอย่างรวดเร็ว ต้องระวังด้วยนะ เพราะหากเราได้ยินเสียงมันร้องจะมีอาการปวดหัว
QUEST_LV_0100_20150317_000030	The place I just talked about is the Second Supply Warehouse.{nl}It is depressing to think how these kinds of things will be recurring in the future.	สถานที่ ที่ฉันเพิ่งบอกไปคือ Second Supply Warehouse {nl} มันทำให้คิดว่าเหตุกาณ์นี้จะเกิดขึ้นอีกในอนาคต
QUEST_LV_0100_20150317_000031	"Take it. I made some bait from old grains in the supplies.{nl}I will lure it from up there, so you stay here. Sparnas will definitely appear at one of these {nl}two places. Don't let it escape. Destroy it for sure.{nl}"	เอาไป ฉันทำนี่มาให้จากคลังเสบียง {nl} ฉันจะไปล่อมันเอง ส่วนคุณอยู่ที่นี่ Sparnas จะปรากฎตวออกมาสักที่นึง {nl} จากสองที่นี้แหล่ะ อย่าให้มันหนีไปได้ กำจัดมันซะ {nl}
QUEST_LV_0100_20150317_000032	We may not get a second chance if we don't defeat it this time.{nl}It doesn't seem like they're idiots.	เราอาจจะไม่มีโอกาศเป็นครั้งที่สองนะ ถ้าเราไม่กำจัดมันตอนนี้ {nl} ดูไม่เหมือนว่ามันโง่เลยนะ
QUEST_LV_0100_20150317_000033	I heard the sound of fighting so I came in a hurry. Did you defeat it?{nl}I only spotted the Siaulambs at my spot.{nl}Thank you. You have performed a meritorious deed.	ฉันได้ยินเสียงต่อสู้กัน ฉันเลยรีบมาที่นี่ คุณกำจัดมันแล้วเหรอ {nl} ฉันเจอแต่ Siaulambs ตอนที่ฉันมา {nl} ขอบคุณนะ คุณนี่ถือว่าเป็นวีรบุรุษเลย
QUEST_LV_0100_20150317_000034	Adjutant General Paulina	Adjutant General Paulina
QUEST_LV_0100_20150317_000035	We should recover the stolen supplies.{nl}We can't call ourselves soldiers of the kingdom if we don't do anything about it.{nl}	เราควรที่จะนำเสบียงที่ถูกปล้นไปกลับมา{nl}เราไม่สามารถเรียกตัวเองว่ากองกำลังของอาณาจักรได้ ถ้าเราทำอะไรไม่ได้เลยสักอย่าง{nl}
QUEST_LV_0100_20150317_000036	"The stolen supplies were taken by the Siaulambs in every Supply Warehouse, {nl}recover the supplies and bring them to Volda."	เสบียงถูก Siaulambs ปล้นไปเกือบทุกคลัง {nl} เราจะต้องนำมันกลับมาและนำไปส่งให้กับ Volda
QUEST_LV_0100_20150317_000037	I feel so fed up having to endure this all the time. Reinforcements should be coming soon.{nl}But what can we expect from such an incompetent kingdom?	ฉันรู้สึกระอามากที่จะต้องทนอะไรแบบนี้ จริงๆ กำลังเสริมควรจะมาได้แล้ว {nl} เรายังหวังอะไรกับอาณาจักรที่ไร้ความสามารถนี้ได้อีกเนี่ย
QUEST_LV_0100_20150317_000038	Adjutant General Volda	Adjutant General Volda
QUEST_LV_0100_20150317_000039	"Thank you very much, but you must be late for other matters.{nl}Besides we can't just sit here and wait. We plan to keep attacking."	ขอบคุณมากนะ แต่เรายังช้าไปอยู่มากสำหรับเรื่องอื่น {nl} ตอนนี้เราไม่สามารถที่จะนั่งและรอได้แล้ว เรากำลังวางแผนที่จะโจมตีต่ออีกระลอก
QUEST_LV_0100_20150317_000040	Secret Guardian	Secret Guardian
QUEST_LV_0100_20150317_000041	The goddess already foresaw this.{nl}Nothing can escape from her vision.	เทพธิดาได้เห็นแล้ว {nl} ไม่มีอะไรสามารถหนีจากสายตาของเธอได้
QUEST_LV_0100_20150317_000042	Liaison Officer Niels	Liaison Officer Niels
QUEST_LV_0100_20150317_000043	Hello.{nl}Have you seen an old man who has lost his way?{nl}His name is Jonas.{nl}	สวัสดี {nl} คุณเห็นคนที่หลงทางผ่านมาทางนี้บ้างไหม {nl} เขาชื่อ Jonas {nl}
QUEST_LV_0100_20150317_000044	"You haven't seen him?{nl}Now, which direction would that feeble old fellow have wandered off towards?"	คุณไม่ได้พบเขาเหรอ{nl}ตอนนี้เขาจะเลือกเดินไปทางไหนกันนะ
QUEST_LV_0100_20150317_000045	Jonas is a descendant of the family that has been protecting this Royal Mausoleum.{nl}He is a very important person to our lab team so please take good care of him.	Jonas เป็นลูกหลานของครอบครัวที่ได้ปกป้อง Royal Mausoleum {nl}  เขาเป็นคนสำคัญสำหรับทีมงานห้องปฏิบัติการของเรา ดังนั้นช่วยดูแลเขาด้วยนะ
QUEST_LV_0100_20150317_000046	Archivist Jonas	Archivist Jonas
QUEST_LV_0100_20150317_000047	Our family has been waiting for you for a long time.{nl}It is time to give you something that we have been protecting for quite a while.	ครอบครัวของเรารอคุณมานานมากแล้ว {nl} ถึงเวลาที่เราจะให้บางสิ่งบางอย่างกับคุณ ที่เราได้ปกป้องมานานแสนนาน
QUEST_LV_0100_20150317_000048	"It is good to hear that Jonas has regained his consciousness.{nl}You are the person who casted the light signal, right?{nl}"	ช่างโชคดีจริงๆ ที่ได้ยินว่า Jonas ได้ฟื้นสติแล้ว {nl} คุณเป็นคนที่ส่งสัญญาณไฟใช่ไหม {nl}
QUEST_LV_0100_20150317_000049	Ahylas has come to meet whoever lit the signal.{nl}Meet him downstairs.	Ahylas มาเพื่อที่จะเจอใครก็ตามที่ส่งสัญญาณให้ {nl} เจอกับเขาได้ที่ชั้นล่าง
QUEST_LV_0100_20150317_000050	"We haven't heard any news from Kepeck for a long time, not since we sent him supplies.{nl}We don't have enough people to form a search team, so please help us find him."	เราไม่ได้ยินข่าวจาก Kepeck มานานแล้ว ตั้งแต่เราส่งเขาไปหาเสบียง {nl} เราไม่มีคนมากพอที่จะจัดตั้งทีมสำรวจ ได้โปรดช่วยเราหาเขาด้วยเถอะ
QUEST_LV_0100_20150317_000051	Historian Viode	Historian Viode
QUEST_LV_0100_20150317_000052	Always be prepared for monster attacks.{nl}Especially in places like here.	จงเตรียมพร้อมเสมอสำหรับการโจมตีของมอนสเตอร์ {nl} โดยเฉพาะที่อันตรายแบบนี้
QUEST_LV_0100_20150317_000053	Mercenary Mirta	Mercenary Mirta
QUEST_LV_0100_20150317_000054	}Didn't I already warn you?{nl}Be careful next time.	}นี่ฉันไม่ได้เตือนคุณแล้วหรอกเหรอ{nl}ระวังตัวด้วยคราวหน้า
QUEST_LV_0100_20150317_000055	Historian Kepeck	Historian Kepeck
QUEST_LV_0100_20150317_000056	"Niels must have sent you.{nl}Well, since you're in a hurry, document it yourself and take it back to Niels."	Niels ต้องส่งคุณมาแน่เลย {nl} ดีล่ะ ไหนๆ คุณก็มาแล้ว เอาเอกสารส่งคืนให้ Niels ด้วย
QUEST_LV_0100_20150317_000057	"If you go straight, take the road to your right and cross the bridge, {nl}you will see the artifacts of the Great King Zachariel.{nl}Archive them and take it back to Niels. He will understand."	หากคุณตรงไป ใช้ถนนทางด้านขวามือและข้ามสะพาน {nl} คุณจะเห็นสัญลักษณ์ของ Great King Zachariel {nl} ไปพบพวกเขาแล้วนำมันกลับมาหา Niels เขาจะเข้าใจในทันที
QUEST_LV_0100_20150317_000058	So these are Kepeck's notes... Mercenary Mirta was looking for this.{nl}You helped confirm the safety of two individuals. Thank you for your efforts.	เอาล่ะ นี่คือบันทึกของ Kepeck...Mercenary Mirta เคยมองหาเจ้าสิ่งนี้ {nl} คุณได้ช่วยยืนยันความปลอดภัยของเขาทั้งคู่ ขอบคุณมากเลยนะสำหรับความพยายาม
QUEST_LV_0100_20150317_000059	Ahylas Jonas	Ahylas Jonas
QUEST_LV_0100_20150317_000060	Now take the unsealing stone and go to Broken Pillar Canyon. {nl}The Disciple of Gustas will teach you how to release the seal there.	นำหินผนึกนี้กลับไปที่ Broken Pillar Canyon {nl} เหล่าสาวกของ Gustas จะช่วยสอนคุณถึงวิธีปลดปล่อยผนึกที่นั่น
QUEST_LV_0100_20150317_000061	Were you not guided yet?{nl}Take it to the Disciple of Gustas in Broken Pillar Canyon.{nl}It is made to let only the chosen one enter.	คุณยังไม่ได้ถูกแนะนำสินะ {nl} นำมันไปให้เหล่าสาวกของ Gustas ใน Broken Pillar Canyon {nl} มีแค่ผู้ถูกเลือกเท่านั้นที่จะเข้าไปได้
QUEST_LV_0100_20150317_000062	Disciple of Gustas	Disciple of Gustas
QUEST_LV_0100_20150317_000063	Did you release the seal of Pagasa Cliff?{nl}You have to start from that seal.	คุณได้ปลดผนึกของ Pagasa Cliff แล้วหรือ {nl} คุณต้องเริ่มจากผนึกนั่นเสียก่อน
QUEST_LV_0100_20150317_000064	Words engraved into a rock	มีคำที่ถูกสลักบนหิน
QUEST_LV_0100_20150317_000065	Do not touch or push the rock.	อย่าสัมผัสหรือผลักหินนะ
QUEST_LV_0100_20150317_000066	I was waiting for you.{nl}The next seal is located on the way to the Collapsed Sanctum.	ฉันกำลังรอคอยเธออยู่ {nl} ผนึกต่อไปตั้งอยู่ที่ทางไป Collapsed Sanctum
QUEST_LV_0100_20150317_000067	You don't know how eagerly we have waited for this moment.{nl}We really wanted to meet you.	คุณไม่่มีทางรู้หรอกว่าเรารอเวลานี้มานานแค่ไหน {nl} พวกเราต้องการจะพบคุณมานานแล้ว
QUEST_LV_0100_20150317_000068	Gustas Jonas	Gustas Jonas
QUEST_LV_0100_20150317_000069	It's you.{nl}You are much more gallant than what I had imagined.	คุณนั่นเอง {nl} คุณดูกล้าหาญมากกว่าที่ฉันจินตนาการซะอีก
QUEST_LV_0100_20150317_000070	Soldier Alan	Soldier Alan
QUEST_LV_0100_20150317_000071	"Are you the new recruit?{nl}I received a patrolling order, but I guess you can go my behalf."	นายเพิ่งมาใหม่สินะ {nl} พอดีฉันได้รับคำสั่งให้ไปลาดตระเวน ฉันเดาว่านายคงไปแทนฉันได้
QUEST_LV_0100_20150317_000072	"You're good for a newbie.{nl}I have a memory of something horrible happening there once, so I don't want to go."	นายนี่มันเป็นคนดีจริงๆ {nl} พอดีฉันเคยมีประสบการณ์ที่น่ากลัวมากน่ะ เลยไม่อยากไป
QUEST_LV_0100_20150317_000073	I'm remembering something...	ฉันกำลังนึกถึงบางสิ่งบางอย่าง...
QUEST_LV_0100_20150317_000074	"}You know that we are dispatched here to defeat Gaigalas, right?{nl}Rookie. Can you take this report to Commander Wallace?"	}นายรู้ใช่ไหม เราถูกส่งมาที่นี่เพื่อจัดการ Gaigalas {nl} น่ะเจ้าคนใหม่ นายช่วยนำรายงานนี้ไปให้กับ Commander Wallace ได้ไหม
QUEST_LV_0100_20150317_000075	Commander Wallace	Commander Wallace
QUEST_LV_0100_20150317_000076	Why did you bring this report without Alan coming?{nl}Are you a new recruit or something?	ทำไมนายถึงนำรายงานนี้มาคนเดียวล่ะ อลันไม่ได้มาด้วยเหรอ {nl} นายเป็นใครกัน หรือจะเป็นเด็กใหม่ใช่ไหม
QUEST_LV_0100_20150317_000077	"I can return home after Gaigalas is defeated.{nl}Well, I'd like to go home as soon as possible."	ฉันคงกลับบ้านได้หลังจากที่ Gaigalas ถูกกำจัด{nl} ก็ดี ฉันอยากกลับบ้านให้เร็วที่สุดเท่าที่จะเป็นไปได้ล่ะ
QUEST_LV_0100_20150317_000078	Commander Wallace is at Bird Footprint Junction.	Commander Wallace อยู่ที่ Bird Footprint Junction
QUEST_LV_0100_20150317_000079	I don't care how good you are. You are new here.{nl}This is an order. Bring me some sap from Kepa Raiders.	ฉันไม่รู้หรอกนะว่านายเก่งแค่ไหน นายเป็นคนใหม่สำหรับที่นี่ {nl} ฉันขอสั่งให้นายนำโลหิตจาก Kepa Raiders มาให้ฉัน
QUEST_LV_0100_20150317_000080	"Soldiers these days, they lack guts.{nl}I hope you'll be a good influence to them."	เท่าที่ฉันมองดูเหล่าทหาร พวกเขายังดูขาดความกล้าหาญ {nl} ฉันหวังว่าคุณจะเป็นตัวอย่างที่ดีของเขาเหล่านั้นได้
QUEST_LV_0100_20150317_000081	It's clear that we will win this battle.{nl}Why? Because the Owls are helping.	มันแน่แล้วล่ะที่พวกเราจะชนะสงครามครั้งนี้ {nl} ทำไมน่ะเหรอ ก็เพราะ Owls กำลังมาช่วยเราน่ะสิ
QUEST_LV_0100_20150317_000082	"Kepa Raiders are near Ianutis Waterfall.{nl}To defeat Gaigalas, we will surely need them."	เหล่า Kepa Riader อยู่ใกล้กับน้ำตก Ianutis {nl} เพื่อที่จะกำจัด Gaigalas พวกเราต้องการกำลังของเขา
QUEST_LV_0100_20150317_000083	Soldier Weiz	Soldier Weiz
QUEST_LV_0100_20150317_000084	"Hey, rookie, are you on a break?{nl}Get some fat from Duckys in Lengvas Garden."	เฮ้ เจ้าหน้าใหม่ นายกำลังพักอยู่งั้นเหรอ {nl} ช่วยหาไขมันเป็ดจาก Lengvas Garden หน่อยสิ
QUEST_LV_0100_20150317_000085	"We will lure Gaigalas using Ducky Fat.{nl}Hey rookie, don't loaf around, alright?"	พวกเราจะใช้ไขมันเป็ดตัวอ้วนล่อเจ้า Gaigalas ออกมา {nl} เฮ้ เจ้าหน้าใหม่ อย่ามัวแต่เอ้อระเหย เข้าใจไหม
QUEST_LV_0100_20150317_000086	"Today will be the last day for Gaigalas.{nl}Are you ready, rookie?"	วันนี้จะเป็นวันสุดท้ายสำหรับ Gaigalas {nl} นายพร้อมหรือยังเจ้าหน้าใหม่
QUEST_LV_0100_20150317_000087	"Next, we will get leather from Cronewts in Lengvas Garden.{nl}Hurry, soldier."	ต่อไป เราจะเอาหนังจาก Cronewts ใน Lengvas Garden {nl} รีบเข้าทหาร
QUEST_LV_0100_20150317_000088	We will win for sure this time.{nl}The goddesses are on our side.	เราจะต้องชนะแน่ {nl} เทพธิดาท่านอยู่ข้างพวกเรา
QUEST_LV_0100_20150317_000089	"You are pretty good for a rookie.{nl}It's disorganized here at the moment, so you can keep those ingredients for now.{nl}"	นายนี่่ถือว่าเก่งมากนะสำหรับคนที่เป็นหน้าใหม่ {nl} ที่นี่มันเคยยุ่งเหยิงอยู่สักพักเหมือนกัน แต่ว่าตอนนี้นายสามารถที่จะเก็บส่วนผสมเหล่านั้นได้แล้วล่ะ
QUEST_LV_0100_20150317_000090	Get to know our soldiers while I make preparations for the battle.{nl}I will call you before we confront Gaigalas.	ลองไปทำความรู้จักกับพวกทหารดูก่อน ตอนที่ฉันกำลังเตรียมตัวเพื่อเข้าสู่สงคราม {nl} ฉันจะเรียกนายอีกทีก่อนที่เราจะเผชิญหน้ากับ Gaigalas
QUEST_LV_0100_20150317_000091	"When we burn the Ducky Fat, Gaigalas will appear after smelling the odor.{nl}Lengvas Garden will be a good place to burn it."	ตอนที่ี่เราเผาไขมันเจ้าเป็ดอ้วนนั่น Gaigalas จะได้กลิ่นและปรากฎกายออกมา {nl} Lengvas Garden นี่ล่ะเหมาะจะเป็นสถานที่ที่จัดการมัน
QUEST_LV_0100_20150317_000092	My heart is pounding.{nl}I feel like my soul is throbbing with it.	หัวใจของฉันกำลังฮึกเหิม {nl} ฉันรู้สึกได้ว่าจิตวิญญาณของฉันกำลังสั่นสู้กับมัน
QUEST_LV_0100_20150317_000093	Old Owl Sculpture	Old Owl Sculpture
QUEST_LV_0100_20150317_000094	There is no one in this forest. Why are you here?{nl}	นี่มันแทบจะเป็นป่าที่ไม่มีคน ทำไมคุณมาอยู่ที่นี่ได้
QUEST_LV_0100_20150317_000095	Gaigalas?{nl}Defeating it without any assistance will be difficult.	Gaigalas งั้นเหรอ {nl} การกำจัดมันโดยไม่มีใครช่วยคงเป็นเรื่องที่ยากเอามากๆ
QUEST_LV_0100_20150317_000096	I have seen many deaths here.{nl}And I don't want to see any more sacrifices.	ฉันเคยเห็นผู้คนตายมากมายที่นี่ {nl} และฉันไม่ต้องการจะเห็นใครเสียสละอีก
QUEST_LV_0100_20150317_000097	I need Kepa Raider Sap and Cronewt Leather.	ฉันต้องการ Kepa Raider Sap และ Cronewt Leather
QUEST_LV_0100_20150317_000098	Why do you have that?{nl}Hand it to me and I will make a Memory Fragment.	ทำไมคุณถึงมีเจ้าสิ่งนั้น {nl} ส่งมาให้ฉัน ฉันจะทำ Memory Fragment
QUEST_LV_0100_20150317_000099	"With this Memory Fragment, I will revive the memories of our sleeping comrades."	ด้วย Memory Fragment นี้ ฉันจะใช้มันฟื้นความจำของเหล่าสหายที่หลับไหลอยู่ของพวกเรา
QUEST_LV_0100_20150317_000100	It will be difficult to defeat it without a Memory Fragment.{nl}Please bring me Infro Holder Horns.	มันเป็นอะไรที่ยากมากที่จะกำจัดมันโดยไม่มี Memory Fragment{nl} ช่วยนำ Infro Holder Horns ให้ฉันที
QUEST_LV_0100_20150317_000101	How come you have all these ingredients?	คุณได้ส่วนผสมพวกนี้มาได้อย่างไรเนี่ย
QUEST_LV_0100_20150317_000102	Those are people who are already gone from this world. {nl}They are repeating what happened back then because of their anger for Gaigalas.	นั่่นคือเหล่าผู้คนที่ได้จากโลกนี้ไปแล้ว {nl}พวกเขากำลังทำให้เหตุการณ์นั้นเกิดขึ้นอีกครั้งเพราะความโกรธของเขาต่อ Gaigalas
QUEST_LV_0100_20150317_000103	We can calm them if we defeat Gaigalas.{nl}Please go see the Worrying Owl.	พวกเราสามารถทำให้พวกเขาสงบลงได้ ถ้าพวกเราจัดการเจ้า Gaigalas ลงได้ {nl} ได้โปรดช่วยไปเจอ Worrying Owl
QUEST_LV_0100_20150317_000104	Worrying Owl Sculpture	Worrying Owl Sculpture
QUEST_LV_0100_20150317_000105	Please help me wake my sleeping comrades and complete the magic of that day.{nl}With the Memory Fragment.	ได้โปรดช่วยฉันปลุกเพื่อนที่หลับอยู่และเวทมนตร์พวกนั้นด้วยเถอะ {nl} โดยใช้ Memory Fragment
QUEST_LV_0100_20150317_000106	They may become satiated.{nl}I will stand here while remembering my comrades.	พวกเขาน่าจะกำลังยิ้มอย่างสบายใจกันอยู่{nl}ฉันจะคิดถึงเพื่อนร่วมทีมของฉันเสมอตอนที่ยืนอยู่ตรงนี้
QUEST_LV_0100_20150317_000107	You will find Gaigalas when you go to Ishimtini Access Way.{nl}Please avenge the fallen soldiers.	คุณจะเจอกับ Gaigalas เมื่อคุณไปที่ Ishimtini Access Way {nl} ได้โปรดช่วยแก้แค้นให้กับเหล่าทหารด้วย
QUEST_LV_0100_20150317_000108	"I was in an isolated place so I did not fall asleep.{nl}But, watching it all was painful for me."	ฉันเคยอยู่ที่ที่ห่างออกไป แทบจะนอนไม่หลับเลย {nl} การที่ต้องมองเห็นมันทั้งหมดช่างเจ็บปวดสำหรับฉันจริงๆ
QUEST_LV_0100_20150317_000109	My comrades were attacked while they were trying to help the soldiers.	เหล่าสหายของฉันโดนโจมตีในขณะที่พวกเขาพยายามที่จะช่วยทหารเหล่านั้น
QUEST_LV_0100_20150317_000110	(Jonas recovered awareness after drinking the medicine.)	(Jonas ได้ฟื้นฟูสติหลังจากดื่มยาเข้าไป)
QUEST_LV_0100_20150317_000111	Archaeologist Dezic	Archaeologist Dezic
QUEST_LV_0100_20150317_000112	I am looking for my assistant named Airine.{nl}Can you defeat the monsters nearby so I can go look for her?	ฉันกำลังมองหาผู้ช่วยของฉันที่ชื่อ Airine {nl} คุณช่วยกำจัดมอนสเตอร์ที่อยู่ใกล้ๆ หน่อยได้ไหม เพื่อที่ฉันจะได้ออกไปหาเธอ
QUEST_LV_0100_20150317_000113	I told her not to get excited even if she finds something.{nl}And yet she did it again.	ฉันบอกกับเธอก่อนแล้วว่าอย่าตกใจนะ ถ้าเธอเห็นอะไรบางอย่าง {nl} แต่แล้วเธอก็ตกใจ
QUEST_LV_0100_20150317_000114	Thanks.{nl}I'll go look for Airine.	ขอบคุณนะ {nl} ฉันจะออกไปตามหา Airine
QUEST_LV_0100_20150317_000115	Technician Heinen	Technician Heinen
QUEST_LV_0100_20150317_000116	}This cable car can only be ridden by those with a permit. I'm afraid I have to tell you to turn back {nl}towards Vienesa Highlands.	}รถรางคันนี้สามารถขึ้นได้เฉพาะผู้ที่ได้รับอนุญาตเท่านั้น ฉันเกรงว่าต้องบอกให้คุณกลับไป {nl}  ไปยัง Vienesa Highlands
